votanti,affluenza,schede_nulle,schede_bianche,schede_contestate,aggiornamento,sezione,si,no
393,36.42,1,1,0,ultimo,138,121,270
414,42.68,1,0,0,ultimo,139,129,284
340,36.02,1,0,0,ultimo,140,91,248
568,68.77,0,0,0,ultimo,141,189,379
644,64.79,1,0,0,ultimo,142,202,441
610,70.93,1,0,0,ultimo,143,198,411
566,59.96,0,0,0,ultimo,144,202,364
467,66.24,1,0,0,ultimo,145,179,287
347,55.52,0,1,0,ultimo,146,120,226
577,64.61,1,1,0,ultimo,147,196,379
611,66.7,0,1,0,ultimo,148,217,393
520,67.27,1,0,0,ultimo,149,169,350
351,45.23,1,0,0,ultimo,150,74,276
333,50.61,0,0,0,ultimo,151,105,228
381,48.54,2,1,0,ultimo,152,104,274
591,64.45,0,0,0,ultimo,153,219,372
338,38.5,0,0,0,ultimo,154,86,252
238,32.78,0,1,0,ultimo,155,90,147
363,44.27,5,0,0,ultimo,156,81,277
437,65.03,0,0,0,ultimo,157,157,280
340,42.29,0,0,0,ultimo,158,104,236
307,35.57,0,0,0,ultimo,159,83,224
316,38.68,0,1,1,ultimo,160,71,243
440,56.27,4,0,0,ultimo,161,138,298
304,42.16,2,0,0,ultimo,162,86,216
541,52.07,3,1,0,ultimo,163,163,374
336,39.07,0,0,0,ultimo,164,104,232
450,60.32,1,0,0,ultimo,165,99,350
380,46.17,1,0,0,ultimo,166,113,266
395,43.89,1,1,0,ultimo,167,133,260
570,63.12,2,2,0,ultimo,168,174,392
443,57.38,1,1,0,ultimo,169,118,323
726,70.14,2,1,0,ultimo,170,221,502
560,70.26,0,0,0,ultimo,171,213,347
668,66.6,4,0,0,ultimo,172,233,431
572,69.5,7,0,0,ultimo,173,209,356
589,69.21,2,2,0,ultimo,174,189,396
635,68.43,3,0,0,ultimo,176,182,450
423,52.94,1,0,0,ultimo,175,129,293
546,68.25,1,0,0,ultimo,177,167,378
641,67.54,5,0,0,ultimo,178,171,465
518,68.25,0,1,0,ultimo,179,142,375
491,70.44,2,0,0,ultimo,180,180,309
366,55.12,1,1,0,ultimo,181,108,256
429,58.85,1,1,0,ultimo,182,141,286
421,65.37,2,0,0,ultimo,183,117,302
422,63.55,0,0,0,ultimo,184,120,302
605,73.07,2,0,0,ultimo,185,203,400
363,43.89,2,1,0,ultimo,186,119,241
536,69.07,0,0,0,ultimo,187,163,373
363,38.01,0,0,0,ultimo,188,125,238
471,46.96,2,1,0,ultimo,189,156,312
481,47.77,0,0,0,ultimo,190,160,321
605,71.68,1,0,0,ultimo,191,230,374
589,63.4,1,1,0,ultimo,192,211,376
501,58.26,2,1,0,ultimo,193,138,360
562,68.7,0,0,0,ultimo,194,151,411
484,57.01,2,1,0,ultimo,195,128,353
371,38.45,0,0,0,ultimo,196,110,261
514,68.9,2,0,0,ultimo,197,150,362
489,62.69,0,1,0,ultimo,198,168,320
317,41.38,0,1,0,ultimo,199,88,228
511,52.25,1,0,0,ultimo,200,162,348
515,68.21,18,0,0,ultimo,201,104,393
404,40.36,2,1,0,ultimo,202,112,289
230,29.56,0,0,0,ultimo,203,74,156
422,48.62,3,0,0,ultimo,204,138,281
431,52.12,1,1,0,ultimo,205,126,303
394,44.17,1,1,0,ultimo,206,90,302
370,48.05,3,0,0,ultimo,207,88,279
510,62.73,0,0,0,ultimo,208,132,378
491,69.25,4,0,0,ultimo,209,132,355
555,63.94,1,0,0,ultimo,210,164,390
316,38.49,2,2,0,ultimo,211,72,240
650,68.49,1,1,0,ultimo,212,187,461
505,64.74,0,1,0,ultimo,213,162,342
428,49.71,0,0,0,ultimo,214,137,291
488,51.97,0,0,0,ultimo,215,147,341
658,70.3,1,0,0,ultimo,216,191,466
485,52.21,2,2,0,ultimo,217,132,349
539,51.28,0,0,0,ultimo,218,157,382
548,56.96,3,0,0,ultimo,219,143,402
378,48.15,2,2,0,ultimo,220,78,296
395,56.51,0,0,0,ultimo,221,80,315
435,46.18,0,0,0,ultimo,222,119,316
311,51.4,1,0,0,ultimo,223,97,213
464,60.57,0,0,0,ultimo,224,115,349
390,50.0,1,0,0,ultimo,225,125,264
377,49.93,2,0,0,ultimo,226,86,289
222,28.68,0,0,0,ultimo,227,65,157
301,33.52,1,0,0,ultimo,228,54,246
281,31.86,2,1,0,ultimo,229,99,179
367,41.38,9,0,0,ultimo,230,131,227
532,49.21,3,0,0,ultimo,231,188,341
286,39.61,3,0,0,ultimo,232,63,220
339,42.48,3,1,0,ultimo,233,82,253
306,39.28,0,1,0,ultimo,234,104,201
195,29.15,0,0,0,ultimo,235,43,152
453,52.43,0,2,0,ultimo,236,132,319
616,59.57,1,2,0,ultimo,237,164,449
477,64.03,1,0,0,ultimo,238,143,333
464,51.5,2,0,0,ultimo,239,130,332
578,67.44,0,0,0,ultimo,240,179,399
149,20.19,1,0,0,ultimo,241,44,104
226,28.75,1,0,0,ultimo,242,50,175
448,54.43,1,0,0,ultimo,243,122,325
461,45.96,0,1,0,ultimo,244,110,350
272,33.33,2,1,0,ultimo,245,57,212
234,27.59,2,2,0,ultimo,246,70,160
176,26.0,0,0,0,ultimo,247,44,132
379,47.91,1,3,0,ultimo,248,128,247
354,46.83,1,1,0,ultimo,249,102,250
424,53.33,2,1,0,ultimo,250,118,303
394,55.49,2,0,0,ultimo,251,112,280
387,45.69,0,0,0,ultimo,252,105,282
361,53.17,0,0,0,ultimo,253,108,253
257,37.35,1,0,0,ultimo,254,58,198
313,43.47,1,0,0,ultimo,255,91,221
428,53.63,0,3,0,ultimo,256,102,323
292,37.73,1,0,0,ultimo,257,106,185
300,34.36,0,1,0,ultimo,258,83,216
186,27.43,2,1,0,ultimo,259,61,122
580,61.51,0,0,0,ultimo,260,178,402
341,41.18,0,0,0,ultimo,261,103,238
355,41.33,0,0,0,ultimo,262,131,224
294,45.37,2,1,0,ultimo,263,74,217
552,50.32,3,1,0,ultimo,264,171,377
312,41.38,5,0,0,ultimo,265,102,205
496,50.72,2,0,0,ultimo,266,170,324
263,34.83,5,0,0,ultimo,267,69,189
536,49.22,2,0,0,ultimo,268,149,385
324,44.38,5,1,0,ultimo,269,94,224
374,52.53,1,2,0,ultimo,270,110,261
367,41.05,4,1,0,ultimo,271,125,237
404,46.28,2,0,0,ultimo,272,122,280
420,55.19,6,0,0,ultimo,273,112,302
240,34.04,0,0,0,ultimo,274,52,188
263,40.84,0,1,0,ultimo,275,76,186
367,49.86,1,0,0,ultimo,276,122,244
265,37.38,1,0,0,ultimo,277,93,171
337,49.13,1,0,0,ultimo,278,118,218
296,43.66,1,0,0,ultimo,279,86,209
293,30.11,1,0,0,ultimo,280,111,181
192,34.1,0,2,0,ultimo,281,44,146
299,39.03,4,0,0,ultimo,282,89,206
516,61.58,1,0,0,ultimo,283,197,318
270,35.43,2,1,0,ultimo,284,81,186
336,40.24,4,2,0,ultimo,285,136,194
346,43.8,2,1,0,ultimo,286,73,270
255,33.33,4,1,0,ultimo,287,73,177
153,20.21,1,0,0,ultimo,288,30,122
299,40.57,3,0,0,ultimo,289,107,189
443,54.83,3,2,0,ultimo,290,92,346
294,48.28,3,0,0,ultimo,291,68,223
213,38.31,1,0,0,ultimo,292,67,145
393,43.33,3,0,0,ultimo,293,129,261
267,34.41,3,1,0,ultimo,294,104,159
440,50.29,0,0,0,ultimo,295,157,283
464,65.17,0,0,0,ultimo,296,130,334
261,33.59,1,1,0,ultimo,297,75,184
201,32.9,1,1,0,ultimo,298,45,154
260,39.45,1,1,0,ultimo,299,72,186
321,40.84,2,0,0,ultimo,300,98,221
215,28.63,3,1,0,ultimo,301,63,148
564,67.54,2,1,0,ultimo,302,177,384
253,29.66,2,1,0,ultimo,303,73,177
318,38.92,1,0,0,ultimo,304,78,239
342,35.15,2,0,0,ultimo,305,115,225
296,38.19,3,1,0,ultimo,306,82,210
478,71.45,2,1,0,ultimo,307,134,341
335,41.36,3,0,0,ultimo,308,81,251
301,39.14,2,0,0,ultimo,309,75,224
471,65.33,2,0,0,ultimo,310,167,302
516,57.27,3,0,0,ultimo,312,356,157
319,35.29,1,0,0,ultimo,311,127,191
370,43.89,2,1,0,ultimo,313,109,258
418,45.43,2,2,0,ultimo,314,117,297
321,40.79,4,1,0,ultimo,315,106,210
365,38.54,1,1,0,ultimo,316,125,238
456,40.82,2,2,0,ultimo,317,153,299
333,33.6,1,0,0,ultimo,318,92,240
331,36.66,3,1,0,ultimo,319,106,221
358,37.1,1,1,0,ultimo,320,136,220
424,46.95,0,0,0,ultimo,321,155,269
433,41.48,6,1,0,ultimo,322,127,299
319,36.67,1,3,0,ultimo,323,104,211
276,29.52,2,1,0,ultimo,324,65,208
318,40.3,2,0,0,ultimo,325,89,227
369,38.68,2,1,0,ultimo,326,128,238
350,35.46,2,0,0,ultimo,327,103,245
525,58.99,1,1,0,ultimo,328,159,364
419,42.54,1,0,0,ultimo,329,183,235
319,35.33,2,1,0,ultimo,330,99,217
308,38.89,6,1,0,ultimo,331,131,170
306,34.89,4,0,0,ultimo,332,90,212
359,41.36,2,2,0,ultimo,333,136,219
343,39.07,3,0,0,ultimo,334,148,192
195,19.72,1,0,0,ultimo,335,62,132
416,48.83,2,0,0,ultimo,336,104,310
227,21.54,3,4,0,ultimo,337,57,163
346,34.33,0,0,0,ultimo,338,137,209
198,40.99,0,0,0,ultimo,339,51,147
350,42.32,1,0,0,ultimo,340,93,256
319,46.91,6,0,0,ultimo,341,84,229
375,35.44,2,1,0,ultimo,342,126,246
360,43.64,1,2,0,ultimo,343,119,238
387,48.07,1,0,0,ultimo,344,100,286
361,39.71,0,0,0,ultimo,345,130,231
467,62.6,0,1,0,ultimo,346,149,317
532,41.05,4,1,0,ultimo,347,198,329
423,35.85,1,0,0,ultimo,348,137,285
494,43.6,2,0,0,ultimo,349,163,329
541,61.69,0,0,0,ultimo,350,156,385
358,58.59,1,1,0,ultimo,351,103,253
578,44.63,0,0,0,ultimo,352,209,369
458,58.05,1,1,0,ultimo,353,130,326
222,26.46,0,4,0,ultimo,354,83,135
480,57.83,4,1,0,ultimo,355,128,347
413,45.69,3,2,0,ultimo,356,135,273
532,56.06,3,1,0,ultimo,357,152,376
496,61.16,2,0,0,ultimo,358,120,374
402,36.91,0,0,0,ultimo,359,135,267
491,56.63,1,3,0,ultimo,360,148,339
440,50.63,0,0,0,ultimo,361,138,302
417,43.66,1,2,0,ultimo,362,141,273
578,69.81,1,0,0,ultimo,363,186,391
632,66.25,1,0,0,ultimo,364,198,433
397,57.62,2,0,0,ultimo,365,117,278
399,39.9,2,0,0,ultimo,366,124,273
656,55.97,2,1,0,ultimo,367,234,419
316,39.9,0,0,0,ultimo,368,100,216
431,53.54,2,1,0,ultimo,369,139,289
313,38.5,3,0,0,ultimo,370,91,219
423,45.93,1,0,0,ultimo,371,130,292
330,48.46,6,0,0,ultimo,372,107,217
175,26.28,0,0,0,ultimo,373,54,121
467,44.14,4,0,0,ultimo,374,147,316
560,51.61,2,0,0,ultimo,375,197,361
309,49.84,2,3,0,ultimo,376,83,221
398,39.52,2,1,0,ultimo,377,105,290
450,41.28,2,0,0,ultimo,378,163,285
174,37.99,1,0,0,ultimo,379,41,132
382,40.51,3,0,0,ultimo,380,145,234
495,50.61,0,1,0,ultimo,381,163,331
394,43.11,1,1,0,ultimo,382,180,212
364,43.59,0,0,0,ultimo,383,135,229
398,44.87,2,0,0,ultimo,384,147,249
512,48.81,5,1,0,ultimo,385,144,362
372,46.27,0,0,0,ultimo,386,129,243
515,47.77,3,0,0,ultimo,387,159,353
430,43.83,3,2,0,ultimo,388,155,270
538,48.78,1,3,0,ultimo,389,228,306
539,50.8,2,0,0,ultimo,390,194,343
597,56.16,1,0,0,ultimo,391,228,368
621,63.37,1,0,0,ultimo,392,255,365
435,57.46,2,0,0,ultimo,393,164,269
481,60.81,2,0,0,ultimo,394,170,309
652,59.65,2,0,0,ultimo,395,277,373
626,60.72,4,0,0,ultimo,396,257,365
481,54.11,0,0,0,ultimo,397,153,328
524,54.24,7,2,0,ultimo,398,164,351
150,16.04,0,0,0,ultimo,399,49,101
349,51.47,2,1,0,ultimo,400,118,228
391,57.0,0,0,0,ultimo,401,162,229
269,28.99,0,0,0,ultimo,402,86,183
549,63.99,4,0,0,ultimo,403,159,386
442,65.38,1,2,0,ultimo,404,143,296
634,68.1,0,0,0,ultimo,405,161,473
168,23.63,2,2,0,ultimo,406,38,126
444,66.87,1,2,0,ultimo,407,131,310
408,51.84,3,0,0,ultimo,408,147,258
459,53.37,1,1,0,ultimo,409,133,324
120,16.95,0,0,0,ultimo,410,36,84
540,61.57,3,0,0,ultimo,411,148,389
515,58.66,0,0,0,ultimo,412,167,348
550,51.84,1,0,0,ultimo,413,166,383
496,50.98,1,0,0,ultimo,414,157,338
586,55.08,4,0,0,ultimo,415,187,395
527,48.53,3,2,0,ultimo,416,141,381
194,32.23,2,0,0,ultimo,417,65,127
363,47.95,0,1,0,ultimo,418,102,260
417,42.95,2,0,0,ultimo,419,124,291
503,47.54,1,2,0,ultimo,420,140,360
366,36.17,0,0,0,ultimo,421,120,246
527,66.54,0,2,0,ultimo,422,192,333
320,36.91,2,0,0,ultimo,423,134,184
372,45.09,1,0,0,ultimo,424,103,268
353,38.2,0,0,0,ultimo,425,115,238
527,57.91,0,0,0,ultimo,426,167,360
293,36.4,3,1,0,ultimo,427,87,202
545,64.96,2,0,0,ultimo,428,168,375
576,64.36,4,0,0,ultimo,429,167,405
426,47.28,2,1,0,ultimo,430,107,316
569,52.15,2,1,0,ultimo,431,197,369
381,56.7,2,0,0,ultimo,432,99,280
477,43.88,0,1,0,ultimo,433,148,328
500,51.98,1,2,0,ultimo,434,154,343
422,57.03,3,0,0,ultimo,435,117,302
497,61.13,1,0,0,ultimo,436,175,321
421,43.05,0,0,0,ultimo,437,103,318
307,40.39,1,0,0,ultimo,438,74,232
403,45.23,0,0,0,ultimo,439,90,313
261,36.05,1,1,0,ultimo,440,41,218
262,37.81,0,0,0,ultimo,441,63,199
257,32.37,1,0,0,ultimo,442,77,179
219,31.65,1,1,0,ultimo,443,70,147
394,46.35,0,0,0,ultimo,444,102,292
487,59.32,2,1,0,ultimo,445,152,332
365,43.09,2,0,0,ultimo,446,106,257
217,31.0,0,0,0,ultimo,447,67,150
403,55.36,1,0,0,ultimo,448,107,295
387,38.74,3,1,0,ultimo,449,118,265
382,43.76,4,0,0,ultimo,450,124,254
418,46.09,1,0,0,ultimo,451,129,288
555,60.06,0,0,0,ultimo,452,178,377
427,54.12,0,1,0,ultimo,453,192,234
460,45.41,2,0,0,ultimo,454,166,292
356,37.24,1,1,0,ultimo,455,134,220
597,55.9,0,0,0,ultimo,456,207,390
258,28.63,1,0,0,ultimo,457,75,182
374,36.85,4,0,0,ultimo,458,131,239
319,42.82,3,4,0,ultimo,459,85,227
391,42.13,2,2,0,ultimo,460,88,299
253,46.0,2,0,0,ultimo,461,68,183
501,53.81,1,0,0,ultimo,462,163,337
561,64.26,0,0,0,ultimo,463,134,427
598,72.14,2,0,0,ultimo,464,190,406
544,63.04,2,0,0,ultimo,465,166,376
544,55.57,1,2,0,ultimo,466,203,338
454,61.02,2,0,0,ultimo,467,192,260
436,48.07,2,1,0,ultimo,468,136,297
425,49.94,0,0,0,ultimo,469,142,283
622,69.5,0,0,0,ultimo,470,195,427
348,43.83,2,2,0,ultimo,471,97,247
351,42.24,0,0,0,ultimo,472,123,228
280,32.63,0,0,0,ultimo,473,91,189
433,47.85,1,0,0,ultimo,474,124,308
149,23.8,0,1,0,ultimo,475,54,94
284,32.49,2,1,0,ultimo,476,89,192
289,29.02,1,1,0,ultimo,477,107,180
554,54.31,3,0,0,ultimo,478,237,314
579,67.33,2,0,0,ultimo,479,204,373
185,18.0,1,0,0,ultimo,480,42,142
427,54.88,2,2,0,ultimo,481,142,281
349,48.34,0,0,0,ultimo,482,118,231
245,34.08,1,0,0,ultimo,483,81,163
13,0.0,0,0,0,ultimo,484,5,8
31,0.0,0,0,0,ultimo,485,10,21
17,0.0,0,0,0,ultimo,486,8,9
17,0.0,0,0,0,ultimo,487,4,13
23,0.0,0,0,0,ultimo,488,8,15
303,31.86,3,1,0,ultimo,489,106,193
384,43.39,0,0,0,ultimo,490,164,220
518,57.11,0,0,0,ultimo,491,163,355
34,0.0,0,0,0,ultimo,492,15,19
156,16.12,0,0,0,ultimo,493,29,127
538,52.13,1,0,0,ultimo,494,147,390
437,55.11,7,1,0,ultimo,495,123,306
252,37.67,0,0,0,ultimo,496,73,179
432,54.14,4,0,0,ultimo,497,142,286
404,48.1,2,1,0,ultimo,498,149,252
537,66.87,0,0,0,ultimo,499,155,382
341,44.52,2,0,0,ultimo,500,81,258
672,67.88,1,0,0,ultimo,501,191,480
345,48.18,1,0,0,ultimo,502,104,240
514,63.38,3,0,0,ultimo,503,181,330
470,47.43,3,0,0,ultimo,504,134,333
463,57.16,1,0,0,ultimo,505,128,334
409,60.59,3,1,0,ultimo,506,157,248
403,45.8,0,0,0,ultimo,507,103,300
507,65.17,1,0,0,ultimo,508,167,339
371,42.69,0,1,0,ultimo,509,132,238
22,733.33,0,0,0,ultimo,510,9,13
549,59.61,0,2,2,ultimo,511,184,361
473,59.5,3,0,0,ultimo,512,148,322
530,71.52,0,0,0,ultimo,513,161,369
306,48.04,0,0,0,ultimo,514,105,201
277,30.41,1,0,0,ultimo,515,86,190
343,37.0,4,0,0,ultimo,516,125,214
415,58.45,2,0,0,ultimo,517,144,269
592,68.76,1,0,0,ultimo,518,193,398
249,40.29,1,0,0,ultimo,519,70,178
339,35.35,0,0,0,ultimo,520,91,248
298,36.47,1,0,0,ultimo,521,88,209
459,43.3,0,1,0,ultimo,522,160,298
326,47.59,0,0,0,ultimo,523,82,244
306,40.53,1,0,0,ultimo,524,97,208
684,67.92,3,0,0,ultimo,525,200,481
691,71.68,0,0,0,ultimo,526,197,494
298,31.53,0,0,2,ultimo,527,91,205
290,33.37,1,1,0,ultimo,528,94,194
342,37.21,1,4,0,ultimo,529,118,219
582,63.96,0,0,0,ultimo,530,163,419
339,36.18,0,0,4,ultimo,531,129,206
509,63.86,1,1,0,ultimo,532,149,358
505,64.17,0,3,0,ultimo,533,152,350
153,16.43,1,0,0,ultimo,534,41,111
620,64.72,1,1,0,ultimo,535,220,398
420,57.3,2,0,0,ultimo,536,141,277
346,48.12,1,0,0,ultimo,537,87,258
346,41.64,1,0,0,ultimo,538,94,251
353,51.99,2,0,0,ultimo,539,101,250
296,40.0,3,0,0,ultimo,540,79,214
413,50.3,4,1,0,ultimo,541,142,266
498,52.48,3,1,0,ultimo,542,160,334
443,55.93,4,0,0,ultimo,543,133,306
292,39.04,1,1,0,ultimo,544,85,205
472,55.53,8,1,0,ultimo,545,99,364
480,55.88,1,0,0,ultimo,546,189,290
374,51.94,2,0,0,ultimo,547,99,273
447,51.03,2,0,0,ultimo,548,123,322
