votanti,affluenza,schede_nulle,schede_bianche,schede_contestate,aggiornamento,sezione,si,no
320,51.36,1,0,0,ultimo,138,110,209
374,61.51,1,0,0,ultimo,139,135,238
404,62.83,3,0,0,ultimo,140,114,287
384,55.41,2,1,0,ultimo,141,120,261
344,56.12,4,3,0,ultimo,142,111,226
299,52.46,0,0,0,ultimo,143,100,199
352,47.63,0,3,0,ultimo,144,114,235
335,49.63,0,1,0,ultimo,145,133,201
357,60.41,0,0,0,ultimo,146,91,266
390,59.72,0,0,0,ultimo,147,106,284
476,60.48,2,1,0,ultimo,148,143,330
54,65.06,0,0,0,ultimo,149,15,39
73,64.04,0,1,0,ultimo,150,21,51
450,54.09,2,0,0,ultimo,151,143,305
314,48.76,1,1,0,ultimo,152,85,227
470,62.25,1,1,0,ultimo,153,129,339
529,65.07,4,2,0,ultimo,154,149,374
406,63.94,3,0,0,ultimo,155,123,280
313,61.01,0,0,0,ultimo,156,86,227
514,65.64,1,0,0,ultimo,157,215,298
235,51.76,0,0,0,ultimo,158,64,171
530,63.17,3,1,0,ultimo,159,177,349
427,53.98,3,0,0,ultimo,160,136,288
290,50.79,2,1,0,ultimo,161,86,201
279,51.1,1,0,0,ultimo,162,95,183
260,50.0,1,0,0,ultimo,163,94,165
285,52.1,1,1,0,ultimo,164,186,97
425,55.05,0,1,0,ultimo,165,135,289
317,58.27,4,2,0,ultimo,166,112,199
416,63.8,0,1,0,ultimo,167,96,319
199,41.81,0,0,0,ultimo,168,64,135
107,39.05,0,1,0,ultimo,169,40,66
582,59.39,2,0,0,ultimo,170,168,412
208,64.6,0,0,0,ultimo,171,69,139
189,58.15,1,1,0,ultimo,172,57,130
130,32.26,0,1,0,ultimo,173,65,64
159,38.69,2,0,0,ultimo,174,54,103
119,54.34,0,2,0,ultimo,175,53,64
358,58.02,3,0,0,ultimo,176,111,244
299,58.06,2,1,0,ultimo,177,80,216
462,59.54,4,3,0,ultimo,178,163,292
427,62.7,1,0,0,ultimo,179,153,273
266,47.42,0,0,0,ultimo,180,105,161
365,61.97,2,1,0,ultimo,181,124,238
287,60.93,1,1,0,ultimo,182,96,189
378,54.62,0,0,0,ultimo,183,105,273
465,64.76,0,0,0,ultimo,184,156,309
370,48.37,0,0,0,ultimo,185,149,221
265,57.48,0,0,0,ultimo,186,87,178
161,49.24,2,1,0,ultimo,187,42,116
165,41.15,0,0,0,ultimo,188,64,101
424,56.76,1,0,0,ultimo,189,146,277
365,55.05,5,0,0,ultimo,190,94,266
372,56.11,4,1,0,ultimo,191,251,116
404,56.27,1,1,0,ultimo,192,146,256
430,62.5,3,1,0,ultimo,193,141,285
346,62.34,1,3,0,ultimo,194,98,244
313,59.39,3,1,0,ultimo,195,101,208
413,61.37,3,0,0,ultimo,196,161,249
428,65.24,1,0,0,ultimo,197,152,275
340,63.91,3,0,0,ultimo,198,102,235
413,56.11,1,0,0,ultimo,199,137,275
429,60.25,1,0,0,ultimo,200,167,261
265,69.74,3,0,0,ultimo,201,94,168
365,56.07,0,0,0,ultimo,202,128,237
171,47.5,0,0,0,ultimo,203,42,129
254,44.41,1,0,0,ultimo,204,101,152
293,49.24,0,1,0,ultimo,205,112,180
256,53.67,2,0,0,ultimo,206,102,152
151,54.32,0,0,0,ultimo,207,48,103
375,51.37,2,0,0,ultimo,208,89,284
282,44.83,0,2,0,ultimo,209,101,179
275,57.29,2,2,0,ultimo,210,132,139
301,48.39,2,0,0,ultimo,211,99,200
348,56.59,1,1,0,ultimo,212,105,241
362,62.31,2,3,0,ultimo,213,107,250
323,53.57,0,0,0,ultimo,214,113,210
372,61.69,1,1,0,ultimo,215,107,263
258,52.55,1,0,1,ultimo,216,80,176
387,64.39,2,1,0,ultimo,217,119,265
394,56.29,1,2,0,ultimo,218,111,280
338,54.25,1,0,0,ultimo,219,125,212
384,58.45,3,2,0,ultimo,220,130,249
371,51.6,3,0,0,ultimo,221,102,266
306,51.6,0,0,0,ultimo,222,126,180
358,47.73,0,2,0,ultimo,223,118,238
415,58.53,5,1,0,ultimo,224,182,227
332,51.47,2,0,0,ultimo,225,111,219
376,54.41,3,0,0,ultimo,226,148,225
328,52.9,1,0,0,ultimo,227,111,216
359,61.37,0,0,0,ultimo,230,149,210
166,54.61,3,0,0,ultimo,228,64,99
382,60.73,2,1,0,ultimo,229,135,244
506,65.29,0,2,0,ultimo,231,174,330
379,59.31,1,0,0,ultimo,232,130,248
502,69.92,2,1,0,ultimo,233,175,324
485,64.58,1,0,0,ultimo,234,166,318
49,0.0,0,0,0,ultimo,235,14,35
568,63.04,2,0,0,ultimo,236,223,343
432,58.94,2,0,0,ultimo,237,139,291
406,58.5,3,2,0,ultimo,238,136,265
420,58.09,0,1,0,ultimo,239,113,306
287,55.41,0,0,0,ultimo,240,104,183
50,98.04,1,0,0,ultimo,241,16,33
314,60.85,0,0,0,ultimo,242,83,231
230,56.51,1,0,0,ultimo,243,57,172
248,54.15,2,0,0,ultimo,244,80,166
372,60.1,3,0,0,ultimo,245,143,226
331,61.99,0,0,0,ultimo,246,121,210
379,57.69,0,1,0,ultimo,247,146,232
310,57.2,2,4,0,ultimo,248,89,215
453,59.06,1,2,0,ultimo,249,145,305
414,53.63,2,4,0,ultimo,250,146,262
354,51.3,1,1,0,ultimo,251,117,235
528,57.83,8,1,0,ultimo,252,193,326
356,70.63,2,0,0,ultimo,253,101,253
469,73.63,1,1,0,ultimo,254,135,332
324,62.19,2,0,0,ultimo,255,100,222
323,56.57,0,0,0,ultimo,256,95,228
367,58.16,4,0,0,ultimo,257,119,244
377,57.56,1,1,0,ultimo,258,119,256
344,55.93,3,1,0,ultimo,259,94,246
366,56.57,0,1,0,ultimo,260,107,258
451,61.28,2,0,0,ultimo,261,135,314
491,62.47,3,1,0,ultimo,262,162,325
368,62.37,4,0,0,ultimo,263,105,259
414,69.0,3,1,0,ultimo,264,105,305
408,67.11,4,0,0,ultimo,265,96,308
432,67.39,2,0,0,ultimo,266,121,309
461,61.8,2,2,0,ultimo,267,147,310
495,65.65,3,0,0,ultimo,268,137,355
374,68.25,1,0,0,ultimo,269,116,257
564,67.95,6,3,0,ultimo,270,167,388
351,59.39,1,0,0,ultimo,271,128,222
378,68.6,3,3,0,ultimo,272,129,243
472,72.28,1,0,0,ultimo,273,127,344
482,69.96,2,1,0,ultimo,274,147,332
369,70.55,0,1,0,ultimo,275,127,241
363,60.5,1,0,0,ultimo,276,96,266
552,67.81,2,0,0,ultimo,277,124,426
599,71.65,0,0,0,ultimo,278,132,467
484,70.45,2,1,0,ultimo,279,103,378
485,69.48,2,1,0,ultimo,280,105,377
487,72.69,1,0,0,ultimo,281,100,386
512,66.41,1,0,0,ultimo,282,116,395
364,63.08,1,0,0,ultimo,283,100,263
543,69.88,0,0,0,ultimo,284,205,338
594,69.47,3,0,0,ultimo,285,178,413
402,63.31,1,0,0,ultimo,286,69,332
586,69.43,0,0,0,ultimo,287,116,470
414,74.73,1,0,0,ultimo,288,67,346
676,75.19,2,2,0,ultimo,289,189,483
410,72.82,2,0,0,ultimo,290,117,291
409,60.06,3,1,0,ultimo,291,127,278
304,68.01,0,3,0,ultimo,292,64,237
394,72.96,1,0,0,ultimo,293,71,322
541,72.52,3,0,0,ultimo,294,125,413
