votanti,affluenza,schede_nulle,schede_bianche,schede_contestate,aggiornamento,sezione,si,no
286,45.91,4,0,0,ultimo,138,131,151
454,62.79,1,3,0,ultimo,139,204,246
410,64.47,0,0,0,ultimo,140,211,199
335,51.07,0,1,0,ultimo,141,160,174
449,50.68,0,1,0,ultimo,143,223,225
332,51.08,4,0,0,ultimo,144,142,186
441,51.28,1,1,0,ultimo,142,222,217
344,51.81,3,1,0,ultimo,145,160,180
190,39.5,2,0,0,ultimo,146,95,93
14,100.0,0,0,0,ultimo,147,9,5
18,100.0,0,0,0,ultimo,148,9,9
233,39.29,8,0,0,ultimo,149,129,96
421,62.84,0,0,0,ultimo,150,169,252
406,50.37,0,1,0,ultimo,151,190,215
363,56.02,1,2,0,ultimo,152,182,178
225,37.19,1,0,0,ultimo,153,117,107
324,46.42,1,0,0,ultimo,154,156,167
423,54.65,2,1,0,ultimo,155,215,205
154,40.0,5,0,0,ultimo,156,55,94
316,62.08,2,0,0,ultimo,157,155,159
424,51.77,1,2,0,ultimo,158,214,207
420,49.88,2,0,0,ultimo,159,173,245
335,55.37,2,0,0,ultimo,160,146,187
192,45.5,0,0,0,ultimo,161,89,103
263,50.0,2,0,0,ultimo,162,151,110
427,57.24,1,1,0,ultimo,163,211,214
489,60.67,4,0,0,ultimo,164,250,235
251,37.35,2,0,0,ultimo,165,132,117
517,58.29,3,0,0,ultimo,166,258,256
597,56.8,1,1,0,ultimo,167,291,304
410,57.02,2,1,0,ultimo,168,208,199
426,53.72,3,1,0,ultimo,169,223,199
382,52.4,1,1,0,ultimo,170,167,213
443,59.86,1,0,0,ultimo,171,206,236
274,44.26,2,1,0,ultimo,172,157,114
297,50.17,3,1,0,ultimo,173,146,147
472,53.94,4,0,0,ultimo,174,280,188
140,35.53,4,1,0,ultimo,175,81,54
430,50.65,3,0,0,ultimo,176,190,237
353,57.68,1,1,0,ultimo,177,220,131
239,53.23,2,1,0,ultimo,178,104,132
98,18.53,0,0,0,ultimo,179,50,48
437,51.35,3,0,0,ultimo,180,205,229
329,52.22,0,0,0,ultimo,181,148,181
448,53.46,0,0,0,ultimo,182,239,209
419,56.32,4,3,0,ultimo,183,214,198
303,41.28,0,0,0,ultimo,184,174,129
393,56.14,0,0,0,ultimo,185,218,175
524,58.61,3,1,0,ultimo,186,251,269
459,59.38,2,1,0,ultimo,187,217,239
445,55.97,2,1,0,ultimo,188,239,203
310,54.87,2,0,0,ultimo,189,161,147
492,56.75,0,0,0,ultimo,190,247,245
510,55.02,0,1,0,ultimo,191,248,261
392,50.71,2,0,0,ultimo,192,228,162
475,61.69,2,0,0,ultimo,193,228,245
365,50.55,3,2,0,ultimo,194,214,146
365,50.0,0,0,0,ultimo,195,179,186
317,49.3,2,0,0,ultimo,196,144,171
