votanti,affluenza,schede_nulle,schede_bianche,schede_contestate,aggiornamento,sezione,si,no
258,36.86,0,1,0,ultimo,142,113,144
422,57.03,3,1,0,ultimo,143,170,248
210,38.82,0,0,0,ultimo,144,69,141
318,47.96,1,3,0,ultimo,145,152,162
212,38.41,1,0,0,ultimo,146,83,128
430,57.03,1,0,0,ultimo,147,181,248
343,45.19,1,2,0,ultimo,148,162,178
264,38.88,5,0,0,ultimo,149,119,140
254,36.6,0,0,0,ultimo,150,86,168
205,42.71,0,0,0,ultimo,151,71,134
207,41.9,0,0,0,ultimo,152,87,120
301,53.27,2,0,0,ultimo,153,104,195
265,46.41,0,0,0,ultimo,154,118,147
184,31.72,1,0,0,ultimo,155,53,130
104,14.96,0,1,0,ultimo,157,33,70
102,15.32,2,0,0,ultimo,156,31,69
225,32.01,0,0,0,ultimo,158,77,148
257,34.97,0,0,0,ultimo,159,69,188
303,33.26,0,1,0,ultimo,160,108,194
328,35.46,0,0,0,ultimo,161,108,220
227,29.95,2,0,0,ultimo,162,73,152
216,29.55,1,0,0,ultimo,163,74,141
124,17.89,3,0,0,ultimo,164,33,88
285,37.9,0,0,0,ultimo,165,79,206
231,38.76,2,1,0,ultimo,167,61,167
320,39.02,2,3,0,ultimo,166,97,218
252,29.96,0,0,0,ultimo,168,85,167
311,37.65,2,1,0,ultimo,169,92,216
274,34.9,2,1,0,ultimo,170,64,207
231,33.09,1,1,0,ultimo,171,53,176
191,29.75,0,0,0,ultimo,172,40,151
252,29.44,0,0,0,ultimo,173,49,203
336,31.02,3,0,0,ultimo,174,113,220
480,40.23,0,0,0,ultimo,175,133,347
752,43.98,0,0,0,ultimo,176,237,515
392,33.88,4,2,0,ultimo,177,126,260
172,17.01,0,0,0,ultimo,178,49,123
463,43.15,0,2,0,ultimo,179,163,298
378,48.21,0,0,0,ultimo,180,127,251
241,33.9,0,0,0,ultimo,181,79,162
284,35.59,1,2,0,ultimo,182,83,198
361,40.2,1,0,0,ultimo,183,132,228
190,26.03,2,0,0,ultimo,185,63,125
514,43.3,1,0,0,ultimo,184,176,337
135,18.91,0,1,0,ultimo,186,26,108
318,54.92,2,1,0,ultimo,187,137,178
684,59.07,1,0,0,ultimo,188,241,442
538,56.34,1,0,0,ultimo,189,207,330
46,0.0,0,1,0,ultimo,190,29,16
22,0.0,0,0,0,ultimo,191,16,6
