"";"";"";"Domenica";"";"Lunedi"
"Ente";"Sezioni";"% ore 12";"% ore 19";"% ore 23";"% ore 15"
"SEZIONE 116";"";"18,43";"50,38";"60,06";"71,74"
"SEZIONE 117";"";"9,77";"50,53";"59,45";"71,11"
"SEZIONE 119";"";"16,04";"37,81";"45,66";"53,85"
"SEZIONE 120";"";"18,07";"48,81";"54,22";"65,96"
"SEZIONE 122";"";"16,81";"48,60";"56,72";"70,31"
"SEZIONE 123";"";"18,49";"47,56";"57,86";"69,48"
"SEZIONE 125";"";"18,94";"45,67";"53,46";"61,35"
"SEZIONE 126";"";"20,17";"49,38";"57,18";"70,17"
"SEZIONE 128";"";"16,25";"48,98";"57,23";"69,65"
"SEZIONE 129";"";"17,59";"49,36";"59,17";"72,07"
"SEZIONE 130";"";"17,82";"50,91";"58,42";"73,21"
"SEZIONE 131";"";"19,51";"49,61";"56,72";"69,90"
"SEZIONE 135";"";"17,31";"41,04";"49,10";"58,36"
"SEZIONE 138";"";"16,69";"42,54";"50,66";"60,12"
"SEZIONE 139";"";"15,20";"39,89";"50,34";"62,82"
"SEZIONE 140";"";"16,57";"47,33";"55,16";"67,20"
"SEZIONE 141";"";"19,67";"50,42";"57,21";"69,49"
"SEZIONE 142";"";"14,81";"45,92";"53,27";"67,39"
"SEZIONE 144";"";"13,77";"37,87";"42,07";"55,69"
"SEZIONE 146";"";"18,87";"51,04";"61,07";"72,19"
"SEZIONE 147";"";"17,67";"49,77";"60,12";"73,95"
"SEZIONE 149";"";"20,31";"50,89";"57,48";"73,21"
"SEZIONE 151";"";"14,84";"39,61";"49,70";"61,57"
"SEZIONE 152";"";"17,89";"53,12";"62,74";"72,36"
"SEZIONE 153";"";"18,55";"51,24";"61,19";"72,47"
"SEZIONE 157";"";"19,62";"47,67";"59,75";"70,94"
"SEZIONE 158";"";"18,92";"46,53";"55,61";"66,58"
"SEZIONE 160";"";"12,43";"44,18";"56,21";"71,40"
"SEZIONE 162 (Sezione ospedaliera)";"";"-";"-";"-";"-"
"SEZIONE 164";"";"17,51";"45,90";"54,94";"68,22"
"SEZIONE 167";"";"17,31";"44,87";"55,61";"72,76"
"SEZIONE 168";"";"15,25";"43,98";"52,97";"67,26"
"SEZIONE 169";"";"19,35";"44,46";"53,86";"68,02"
"SEZIONE 172";"";"17,89";"37,06";"43,13";"53,04"
"SEZIONE 173";"";"16,98";"48,60";"61,16";"74,42"
"SEZIONE 175";"";"17,92";"50,78";"56,87";"70,97"
"SEZIONE 177";"";"15,52";"44,48";"52,41";"64,83"
"SEZIONE 179";"";"19,58";"50,49";"60,70";"71,33"
"SEZIONE 181";"";"15,46";"45,85";"48,45";"59,24"
"SEZIONE 182";"";"17,41";"50,75";"61,53";"74,46"
"SEZIONE 184";"";"18,05";"45,61";"54,14";"67,79"
"SEZIONE 185";"";"14,97";"48,69";"59,74";"73,55"
"SEZIONE 186";"";"18,36";"44,92";"53,78";"69,40"
"SEZIONE 187";"";"21,16";"52,33";"60,08";"72,36"
"SEZIONE 188";"";"15,73";"42,94";"53,62";"66,59"
"SEZIONE 189";"";"15,95";"46,69";"56,16";"69,26"
"SEZIONE 190";"";"16,73";"42,59";"53,06";"65,71"
"SEZIONE 191";"";"17,32";"50,65";"59,90";"72,14"
"SEZIONE 193";"";"19,48";"49,89";"58,78";"70,50"
"SEZIONE 195";"";"21,84";"51,63";"59,43";"70,78"
