"";"";"";"Domenica";"";"Lunedi"
"Ente";"Sezioni";"% ore 12";"% ore 19";"% ore 23";"% ore 15"
"SEZIONE 627";"";"12,60";"37,23";"41,97";"51,56"
"SEZIONE 631";"";"13,42";"48,14";"55,48";"68,90"
"SEZIONE 633";"";"18,47";"50,53";"57,65";"68,87"
"SEZIONE 634";"";"19,20";"47,59";"57,01";"71,02"
"SEZIONE 635";"";"18,95";"48,23";"53,32";"66,20"
"SEZIONE 636";"";"18,75";"49,09";"59,24";"71,22"
"SEZIONE 638";"";"13,93";"41,38";"48,28";"67,59"
"SEZIONE 641";"";"20,75";"53,25";"62,63";"74,88"
"SEZIONE 642";"";"18,31";"48,78";"57,71";"71,15"
"SEZIONE 644";"";"11,96";"32,61";"32,92";"45,34"
"SEZIONE 646";"";"15,01";"44,74";"54,68";"64,72"
"SEZIONE 648";"";"17,46";"50,08";"58,04";"67,53"
"SEZIONE 649";"";"17,93";"49,30";"58,17";"73,41"
"SEZIONE 651";"";"14,66";"46,65";"58,03";"68,80"
"SEZIONE 652";"";"16,65";"49,60";"60,09";"74,46"
"SEZIONE 655";"";"16,19";"48,43";"61,73";"74,53"
"SEZIONE 657";"";"14,16";"42,63";"51,84";"62,89"
"SEZIONE 659";"";"18,45";"51,61";"60,39";"73,68"
"SEZIONE 662";"";"16,36";"48,12";"61,03";"75,89"
"SEZIONE 663";"";"20,34";"47,46";"55,21";"68,77"
"SEZIONE 665";"";"19,02";"51,61";"61,00";"71,94"
"SEZIONE 666";"";"20,08";"52,46";"61,89";"75,41"
"SEZIONE 667";"";"18,26";"51,51";"58,49";"71,98"
"SEZIONE 668";"";"17,56";"51,96";"60,02";"72,95"
"SEZIONE 669";"";"16,29";"42,69";"52,40";"63,20"
"SEZIONE 671";"";"19,80";"53,72";"65,07";"75,41"
"SEZIONE 673";"";"21,25";"55,39";"64,85";"78,09"
"SEZIONE 674";"";"18,54";"49,66";"57,08";"70,22"
"SEZIONE 675";"";"15,81";"51,67";"60,67";"74,42"
"SEZIONE 676";"";"21,29";"52,17";"63,47";"76,22"
"SEZIONE 678";"";"22,19";"55,62";"64,41";"75,36"
"SEZIONE 679";"";"18,01";"50,49";"61,76";"74,51"
"SEZIONE 680";"";"24,16";"50,56";"60,74";"72,26"
"SEZIONE 684";"";"20,96";"50,07";"56,74";"69,43"
"SEZIONE 686";"";"17,14";"46,22";"54,79";"70,25"
"SEZIONE 687";"";"21,88";"50,95";"59,38";"73,91"
"SEZIONE 690";"";"19,73";"52,35";"59,94";"74,05"
"SEZIONE 692";"";"18,64";"52,40";"60,60";"72,95"
"SEZIONE 693";"";"6,66";"47,84";"56,84";"65,84"
"SEZIONE 696";"";"16,40";"42,98";"50,52";"61,00"
"SEZIONE 698";"";"20,41";"48,72";"58,55";"70,28"
"SEZIONE 699";"";"18,88";"43,71";"49,29";"61,52"
"SEZIONE 700";"";"18,36";"49,81";"59,25";"70,44"
"SEZIONE 701";"";"19,37";"48,24";"57,51";"70,77"
"SEZIONE 702";"";"17,66";"46,48";"55,86";"69,52"
"SEZIONE 703";"";"19,19";"46,21";"55,62";"68,22"
"SEZIONE 704";"";"19,64";"47,93";"54,78";"65,89"
"SEZIONE 705";"";"21,07";"41,79";"50,12";"61,55"
"SEZIONE 706";"";"16,49";"44,98";"50,97";"62,52"
"SEZIONE 707";"";"20,39";"47,52";"55,92";"66,67"
"SEZIONE 709";"";"16,81";"52,71";"62,63";"74,53"
"SEZIONE 711";"";"18,36";"48,21";"55,74";"66,29"
"SEZIONE 712";"";"17,82";"46,90";"56,44";"70,46"
"SEZIONE 713";"";"18,00";"46,67";"56,67";"70,40"
"SEZIONE 715";"";"18,91";"43,91";"51,41";"65,78"
"SEZIONE 716";"";"19,27";"46,13";"52,24";"64,99"
"SEZIONE 717";"";"15,71";"44,26";"50,34";"62,16"
"SEZIONE 718";"";"17,02";"40,37";"46,31";"59,50"
"SEZIONE 719";"";"15,08";"43,85";"50,77";"65,54"
"SEZIONE 721";"";"20,59";"44,71";"56,76";"65,00"
"SEZIONE 724";"";"21,75";"50,20";"60,98";"75,20"
"SEZIONE 725";"";"18,44";"51,42";"59,37";"69,42"
"SEZIONE 726";"";"15,53";"41,14";"49,86";"58,99"
"SEZIONE 727";"";"19,45";"48,96";"59,53";"71,28"
"SEZIONE 728";"";"20,78";"49,74";"63,38";"74,94"
"SEZIONE 729";"";"20,35";"47,09";"52,91";"62,65"
"SEZIONE 731";"";"17,20";"50,28";"70,56";"70,56"
"SEZIONE 734";"";"19,65";"46,64";"56,47";"67,29"
"SEZIONE 736";"";"17,90";"49,05";"57,28";"68,85"
"SEZIONE 738";"";"9,05";"42,27";"48,85";"59,87"
"SEZIONE 739";"";"19,33";"49,50";"61,00";"72,83"
"SEZIONE 740";"";"20,19";"49,24";"59,04";"72,23"
"SEZIONE 741";"";"18,40";"46,55";"55,21";"67,66"
"SEZIONE 743";"";"13,78";"39,46";"48,17";"59,36"
"SEZIONE 746";"";"19,64";"47,16";"53,94";"67,91"
"SEZIONE 747";"";"17,40";"42,77";"50,00";"64,68"
"SEZIONE 748";"";"18,85";"46,17";"53,96";"66,39"
"SEZIONE 749";"";"17,07";"40,66";"46,85";"54,87"
"SEZIONE 751";"";"20,05";"47,12";"54,89";"67,04"
"SEZIONE 752";"";"20,27";"45,27";"54,46";"68,38"
"SEZIONE 753";"";"20,13";"49,62";"56,54";"66,79"
"SEZIONE 755";"";"17,01";"43,71";"50,72";"63,81"
"SEZIONE 756";"";"19,31";"44,38";"51,59";"64,99"
"SEZIONE 760";"";"18,87";"50,64";"58,64";"70,79"
"SEZIONE 762";"";"16,35";"44,11";"52,98";"61,98"
"SEZIONE 765";"";"15,60";"39,20";"45,87";"59,87"
"SEZIONE 766";"";"15,24";"42,87";"50,06";"59,85"
"SEZIONE 767";"";"17,98";"43,60";"51,10";"60,80"
"SEZIONE 770";"";"16,26";"45,39";"54,88";"64,36"
"SEZIONE 771";"";"16,16";"42,65";"50,89";"61,87"
"SEZIONE 772";"";"19,46";"53,11";"61,76";"73,11"
"SEZIONE 775";"";"18,64";"45,68";"53,23";"61,88"
"SEZIONE 776";"";"20,62";"49,07";"57,42";"68,04"
"SEZIONE 778";"";"18,90";"50,32";"57,22";"70,11"
"SEZIONE 780";"";"15,40";"46,62";"53,69";"63,92"
"SEZIONE 781";"";"15,41";"46,58";"55,32";"64,94"
"SEZIONE 783";"";"17,65";"48,15";"56,36";"71,96"
"SEZIONE 784";"";"19,17";"45,15";"52,96";"65,32"
"SEZIONE 785";"";"16,26";"44,50";"51,56";"61,66"
"SEZIONE 786";"";"19,56";"50,17";"59,72";"67,40"
"SEZIONE 788";"";"15,73";"39,04";"47,19";"56,26"
"SEZIONE 789";"";"14,86";"43,98";"53,69";"63,70"
"SEZIONE 790";"";"13,22";"50,09";"59,44";"69,96"
"SEZIONE 791";"";"18,25";"42,47";"48,66";"59,38"
"SEZIONE 792";"";"15,25";"48,35";"56,13";"67,80"
"SEZIONE 793";"";"17,82";"44,97";"55,75";"62,49"
"SEZIONE 794";"";"15,80";"44,99";"52,85";"62,52"
"SEZIONE 796";"";"14,55";"44,01";"50,70";"59,86"
"SEZIONE 797";"";"15,51";"42,72";"49,68";"61,87"
"SEZIONE 799";"";"19,30";"47,33";"54,05";"63,97"
"SEZIONE 800";"";"15,68";"41,66";"47,59";"60,92"
"SEZIONE 801";"";"16,17";"37,87";"43,40";"52,29"
"SEZIONE 802";"";"16,99";"42,90";"48,89";"59,75"
"SEZIONE 803";"";"16,16";"41,80";"50,30";"58,69"
"SEZIONE 805";"";"16,38";"41,70";"46,94";"58,95"
"SEZIONE 806";"";"14,25";"31,92";"46,30";"56,99"
"SEZIONE 807";"";"17,86";"44,20";"51,24";"62,32"
"SEZIONE 808";"";"18,08";"45,75";"54,90";"65,25"
"SEZIONE 812";"";"17,83";"42,61";"50,43";"62,15"
"SEZIONE 813";"";"19,14";"47,05";"55,19";"68,13"
"SEZIONE 816";"";"17,67";"51,60";"61,20";"72,60"
"SEZIONE 817";"";"22,79";"52,21";"60,54";"73,16"
"SEZIONE 818";"";"17,42";"50,41";"59,35";"72,36"
"SEZIONE 820";"";"21,26";"52,14";"66,18";"77,54"
"SEZIONE 821";"";"21,72";"51,56";"60,67";"72,53"
"SEZIONE 822";"";"16,48";"48,30";"58,71";"71,69"
"SEZIONE 823";"";"17,70";"49,53";"58,01";"70,37"
"SEZIONE 824";"";"16,71";"47,47";"56,45";"67,63"
"SEZIONE 825";"";"16,44";"52,85";"63,09";"75,84"
"SEZIONE 827";"";"18,18";"41,76";"47,02";"56,53"
"SEZIONE 828";"";"18,52";"51,09";"60,78";"72,65"
"SEZIONE 832";"";"20,88";"50,51";"57,08";"68,61"
"SEZIONE 834";"";"16,03";"45,36";"53,83";"64,62"
"SEZIONE 835";"";"15,24";"39,65";"48,30";"59,53"
"SEZIONE 836";"";"13,06";"39,63";"47,64";"57,41"
"SEZIONE 837";"";"19,30";"45,91";"52,47";"64,54"
"SEZIONE 838";"";"18,36";"47,05";"53,49";"65,68"
"SEZIONE 839";"";"20,36";"50,42";"57,48";"68,98"
"SEZIONE 840";"";"18,35";"48,88";"54,76";"63,87"
"SEZIONE 841";"";"19,48";"52,67";"61,90";"72,15"
"SEZIONE 844";"";"14,12";"36,13";"42,86";"51,93"
"SEZIONE 847";"";"21,88";"49,19";"55,65";"67,99"
"SEZIONE 848";"";"18,78";"51,88";"59,75";"70,84"
"SEZIONE 852";"";"16,05";"37,19";"42,13";"50,31"
"SEZIONE 853";"";"20,30";"48,89";"59,98";"72,11"
"SEZIONE 855";"";"19,04";"45,75";"52,60";"63,29"
"SEZIONE 856";"";"19,39";"51,80";"58,17";"71,61"
"SEZIONE 857";"";"19,19";"49,82";"59,66";"70,73"
"SEZIONE 859";"";"18,11";"51,05";"61,26";"72,74"
"SEZIONE 861";"";"18,08";"48,64";"59,11";"70,16"
"SEZIONE 862";"";"21,66";"51,48";"59,07";"70,18"
"SEZIONE 863";"";"17,82";"49,73";"57,58";"72,34"
"SEZIONE 865";"";"17,83";"47,75";"55,35";"67,44"
"SEZIONE 866";"";"7,11";"22,31";"25,12";"32,56"
"SEZIONE 868";"";"19,50";"45,85";"53,36";"64,95"
"SEZIONE 869";"";"17,27";"48,58";"58,30";"72,06"
"SEZIONE 871";"";"18,69";"50,72";"58,84";"70,08"
"SEZIONE 874";"";"17,93";"48,29";"59,52";"72,39"
"SEZIONE 875";"";"19,38";"49,03";"57,74";"70,56"
"SEZIONE 877";"";"17,52";"46,45";"58,09";"68,63"
"SEZIONE 878";"";"18,38";"46,80";"55,15";"66,30"
"SEZIONE 879";"";"19,73";"47,62";"56,05";"68,16"
"SEZIONE 881";"";"16,78";"46,27";"56,47";"66,45"
"SEZIONE 883";"";"16,42";"47,47";"54,95";"66,63"
"SEZIONE 884";"";"17,70";"43,72";"51,13";"59,30"
"SEZIONE 886";"";"18,60";"49,57";"57,16";"69,40"
"SEZIONE 889";"";"21,71";"50,26";"56,58";"68,29"
"SEZIONE 890";"";"17,02";"42,12";"47,28";"56,62"
"SEZIONE 891";"";"14,13";"38,00";"44,72";"51,71"
"SEZIONE 895";"";"16,94";"42,79";"48,93";"61,36"
"SEZIONE 898";"";"12,21";"27,85";"31,92";"43,49"
"SEZIONE 899";"";"13,40";"40,73";"48,71";"58,32"
"SEZIONE 900";"";"21,20";"52,00";"60,60";"70,95"
"SEZIONE 901";"";"10,02";"25,16";"29,85";"39,23"
"SEZIONE 902";"";"14,43";"36,76";"44,64";"54,61"
"SEZIONE 903";"";"16,79";"33,86";"38,06";"47,90"
"SEZIONE 904";"";"14,37";"33,43";"37,39";"49,41"
"SEZIONE 905";"";"15,08";"51,62";"60,21";"71,58"
"SEZIONE 906";"";"15,36";"50,68";"61,74";"72,11"
"SEZIONE 907";"";"19,69";"54,92";"64,99";"75,95"
"SEZIONE 908";"";"15,63";"45,21";"54,58";"64,69"
"SEZIONE 909";"";"15,97";"44,21";"52,69";"61,28"
"SEZIONE 910";"";"13,62";"37,58";"43,00";"51,83"
"SEZIONE 912";"";"14,75";"34,99";"40,48";"53,49"
"SEZIONE 913";"";"13,04";"36,10";"42,57";"52,33"
"SEZIONE 914";"";"13,54";"31,15";"36,97";"43,81"
"SEZIONE 915";"";"12,10";"25,03";"31,55";"43,65"
"SEZIONE 916";"";"11,21";"26,72";"29,96";"41,16"
"SEZIONE 917";"";"17,56";"43,51";"51,32";"61,17"
"SEZIONE 920";"";"16,27";"39,61";"46,90";"58,03"
"SEZIONE 921";"";"18,47";"44,32";"51,99";"62,51"
"SEZIONE 922";"";"15,43";"43,66";"51,24";"61,85"
"SEZIONE 924";"";"19,32";"50,38";"57,58";"69,19"
"SEZIONE 925";"";"15,42";"39,96";"52,03";"64,10"
"SEZIONE 927";"";"18,96";"45,11";"52,17";"63,69"
"SEZIONE 928";"";"19,89";"47,33";"55,52";"67,31"
"SEZIONE 929";"";"5,56";"11,11";"11,11";"11,11"
"SEZIONE 930";"";"21,26";"51,92";"60,68";"70,30"
"SEZIONE 931";"";"19,82";"47,30";"55,41";"66,22"
"SEZIONE 933";"";"16,26";"45,25";"51,07";"63,19"
"SEZIONE 934";"";"16,49";"44,73";"53,34";"66,12"
"SEZIONE 936";"";"12,96";"32,76";"37,49";"46,33"
"SEZIONE 938";"";"16,42";"40,26";"49,80";"61,85"
"SEZIONE 940";"";"11,48";"31,52";"36,19";"45,91"
"SEZIONE 941";"";"15,17";"27,73";"31,32";"41,44"
"SEZIONE 942";"";"12,79";"24,11";"26,00";"35,85"
"SEZIONE 945";"";"19,40";"44,22";"47,79";"58,06"
"SEZIONE 946";"";"12,65";"30,84";"33,54";"39,68"
"SEZIONE 947";"";"12,32";"28,75";"32,86";"40,89"
"SEZIONE 948";"";"14,59";"38,49";"44,03";"55,72"
"SEZIONE 951";"";"15,55";"43,54";"49,28";"62,20"
"SEZIONE 952";"";"16,71";"45,30";"55,44";"68,25"
"SEZIONE 953";"";"15,26";"38,00";"46,94";"58,99"
"SEZIONE 954";"";"11,01";"35,57";"42,66";"52,78"
"SEZIONE 955";"";"17,32";"44,42";"52,07";"61,21"
"SEZIONE 956";"";"15,00";"33,89";"37,04";"48,15"
"SEZIONE 959";"";"16,42";"39,81";"44,74";"54,29"
"SEZIONE 960";"";"16,61";"47,44";"57,16";"66,78"
"SEZIONE 961";"";"20,81";"49,65";"59,66";"71,66"
"SEZIONE 962";"";"16,57";"46,58";"54,50";"63,99"
"SEZIONE 963";"";"16,37";"44,87";"53,06";"64,12"
"SEZIONE 964";"";"17,12";"40,86";"50,97";"62,16"
"SEZIONE 965";"";"15,40";"46,21";"54,71";"63,22"
"SEZIONE 968";"";"15,58";"40,33";"47,86";"59,57"
"SEZIONE 969";"";"19,96";"48,30";"58,70";"68,47"
"SEZIONE 970";"";"16,76";"43,67";"55,49";"67,04"
"SEZIONE 971";"";"20,00";"47,53";"57,11";"70,21"
"SEZIONE 973";"";"21,30";"49,77";"58,80";"70,02"
"SEZIONE 974";"";"20,00";"53,29";"62,32";"72,26"
"SEZIONE 976";"";"12,94";"37,19";"44,14";"56,54"
"SEZIONE 978";"";"18,14";"41,71";"53,86";"64,86"
"SEZIONE 979";"";"12,08";"36,25";"42,92";"54,86"
"SEZIONE 981";"";"0";"44,80";"53,68";"65,96"
"SEZIONE 982";"";"15,53";"40,06";"45,43";"56,60"
"SEZIONE 983";"";"21,04";"54,16";"59,97";"69,54"
"SEZIONE 984";"";"16,01";"44,26";"51,81";"62,69"
"SEZIONE 985";"";"20,38";"41,67";"51,54";"62,18"
"SEZIONE 986";"";"18,06";"43,52";"54,06";"64,12"
"SEZIONE 988";"";"18,30";"46,72";"56,51";"66,74"
"SEZIONE 989";"";"17,15";"50,96";"56,95";"67,87"
"SEZIONE 990";"";"17,93";"49,59";"54,76";"69,16"
"SEZIONE 994";"";"12,97";"36,41";"43,31";"53,24"
"SEZIONE 995";"";"12,54";"28,70";"32,78";"42,60"
"SEZIONE 1001";"";"16,63";"41,41";"47,80";"57,71"
"SEZIONE 1003";"";"18,94";"46,67";"55,15";"64,70"
"SEZIONE 1004";"";"15,46";"35,53";"41,94";"55,59"
"SEZIONE 1005";"";"13,41";"42,27";"48,84";"58,00"
"SEZIONE 1006";"";"16,48";"46,43";"51,66";"60,22"
"SEZIONE 1007";"";"13,22";"47,28";"57,56";"68,87"
"SEZIONE 1008";"";"14,32";"39,78";"45,17";"56,92"
"SEZIONE 1010";"";"16,01";"42,65";"50,36";"63,32"
"SEZIONE 1012";"";"8,58";"26,91";"32,48";"48,26"
"SEZIONE 1013";"";"16,75";"45,29";"51,61";"60,92"
"SEZIONE 1015";"";"14,84";"44,03";"63,02";"68,43"
"SEZIONE 1016";"";"15,50";"41,73";"49,35";"59,95"
"SEZIONE 1017";"";"21,69";"48,05";"57,00";"69,84"
"SEZIONE 1019";"";"20,23";"51,29";"63,35";"74,53"
"SEZIONE 1020";"";"15,64";"42,35";"51,03";"62,56"
"SEZIONE 1021";"";"15,27";"43,40";"51,32";"63,38"
"SEZIONE 1022";"";"19,77";"50,91";"58,32";"69,03"
"SEZIONE 1023";"";"19,78";"50,82";"61,68";"72,53"
"SEZIONE 1024";"";"12,25";"45,47";"53,47";"64,19"
"SEZIONE 1025";"";"15,37";"36,45";"40,89";"47,70"
"SEZIONE 1027";"";"17,07";"42,86";"49,52";"60,77"
"SEZIONE 1028";"";"17,11";"49,34";"56,40";"66,89"
"SEZIONE 1029";"";"16,07";"40,03";"46,77";"55,81"
"SEZIONE 1030";"";"11,09";"23,88";"25,16";"32,41"
"SEZIONE 1032";"";"13,27";"35,89";"39,66";"46,93"
"SEZIONE 1033";"";"16,32";"49,79";"53,59";"63,85"
"SEZIONE 1034";"";"11,55";"38,30";"46,35";"56,84"
"SEZIONE 1035";"";"26,94";"56,80";"59,22";"73,54"
"SEZIONE 1037";"";"18,67";"44,75";"52,67";"62,82"
"SEZIONE 1038";"";"14,36";"35,57";"41,45";"51,16"
"SEZIONE 1039";"";"14,49";"20,29";"20,29";"23,19"
"SEZIONE 1040";"";"6,54";"14,02";"14,02";"21,50"
"SEZIONE 1043 (Sezione ospedaliera)";"";"-";"-";"-";"-"
"SEZIONE 1044";"";"2,94";"11,76";"11,76";"12,75"
"SEZIONE 1045";"";"19,94";"43,84";"53,23";"66,57"
"SEZIONE 1046";"";"20,12";"56,05";"63,67";"71,68"
"SEZIONE 1048";"";"17,88";"48,26";"56,40";"64,10"
"SEZIONE 1050";"";"17,44";"48,73";"56,81";"66,74"
"SEZIONE 1051";"";"13,93";"47,05";"53,32";"65,24"
"SEZIONE 1052";"";"17,91";"42,07";"51,08";"61,54"
"SEZIONE 1056";"";"16,65";"49,15";"56,74";"66,82"
"SEZIONE 1059";"";"17,48";"49,32";"57,86";"69,24"
"SEZIONE 1062";"";"8,33";"21,53";"23,61";"31,71"
"SEZIONE 1063";"";"14,80";"35,67";"40,65";"47,66"
"SEZIONE 1064";"";"8,61";"30,23";"36,03";"44,64"
"SEZIONE 1068";"";"18,83";"47,92";"54,89";"66,50"
"SEZIONE 1069";"";"12,85";"32,05";"35,06";"43,57"
"SEZIONE 1070";"";"17,41";"39,65";"43,71";"51,84"
"SEZIONE 1072";"";"12,90";"28,22";"32,34";"41,12"
"SEZIONE 1073";"";"21,68";"45,66";"52,93";"62,50"
"SEZIONE 1074";"";"17,02";"45,07";"51,45";"61,12"
"SEZIONE 1075";"";"15,84";"45,43";"50,39";"62,60"
"SEZIONE 1076";"";"16,89";"31,67";"34,55";"45,87"
"SEZIONE 1077";"";"17,42";"45,61";"57,93";"68,27"
"SEZIONE 1078";"";"17,40";"47,12";"55,48";"66,99"
"SEZIONE 1079";"";"16,28";"46,23";"55,58";"66,83"
"SEZIONE 1080";"";"15,57";"47,11";"58,97";"69,59"
"SEZIONE 1081";"";"19,49";"42,49";"46,68";"54,26"
"SEZIONE 1082";"";"13,10";"34,66";"41,55";"50,34"
"SEZIONE 1083";"";"13,49";"29,21";"33,10";"40,47"
"SEZIONE 1084";"";"18,27";"57,04";"64,85";"76,85"
"SEZIONE 1085";"";"15,05";"36,90";"42,81";"52,73"
"SEZIONE 1087";"";"16,75";"42,28";"47,15";"58,79"
"SEZIONE 1089";"";"17,52";"40,66";"44,53";"54,50"
"SEZIONE 1090";"";"16,27";"44,47";"50,22";"61,39"
"SEZIONE 1092";"";"15,04";"39,23";"47,35";"58,41"
"SEZIONE 1094";"";"16,76";"43,41";"51,10";"62,50"
"SEZIONE 1095";"";"20,40";"46,88";"50,93";"60,54"
"SEZIONE 1096";"";"16,09";"39,92";"47,86";"57,74"
"SEZIONE 1097";"";"13,43";"35,11";"40,78";"48,38"
"SEZIONE 1099";"";"14,89";"43,22";"52,54";"66,22"
"SEZIONE 1100";"";"13,81";"47,42";"55,65";"64,44"
"SEZIONE 1102";"";"11,72";"39,17";"45,52";"57,93"
"SEZIONE 1103";"";"13,69";"46,11";"54,27";"65,08"
"SEZIONE 1107";"";"17,27";"49,50";"58,73";"73,49"
"SEZIONE 1111";"";"21,01";"49,40";"57,51";"70,14"
"SEZIONE 1112";"";"15,46";"44,22";"53,08";"62,59"
"SEZIONE 1113";"";"14,19";"44,61";"52,80";"63,71"
"SEZIONE 1114";"";"15,32";"42,25";"48,14";"59,05"
"SEZIONE 1115";"";"15,68";"39,14";"48,39";"59,65"
"SEZIONE 1116 (Sezione ospedaliera)";"";"-";"-";"-";"-"
"SEZIONE 1117";"";"0";"49,10";"56,42";"65,75"
"SEZIONE 1118";"";"17,04";"47,34";"56,57";"67,46"
"SEZIONE 1119";"";"19,41";"48,26";"53,25";"62,36"
"SEZIONE 1120";"";"12,46";"42,21";"46,71";"56,75"
"SEZIONE 1121";"";"18,21";"49,95";"56,77";"66,31"
"SEZIONE 1123";"";"12,65";"34,57";"38,11";"47,05"
"SEZIONE 1124";"";"13,90";"51,35";"59,95";"70,44"
"SEZIONE 1125";"";"14,61";"47,34";"53,14";"63,16"
"SEZIONE 1127";"";"18,53";"42,92";"49,60";"60,30"
"SEZIONE 1128";"";"14,37";"41,76";"49,43";"59,96"
"SEZIONE 1130";"";"16,13";"44,89";"52,23";"61,85"
"SEZIONE 1132";"";"19,28";"47,55";"54,21";"64,14"
"SEZIONE 1133";"";"17,97";"40,00";"47,97";"60,81"
"SEZIONE 1135";"";"20,70";"47,79";"57,08";"65,75"
"SEZIONE 1136";"";"15,95";"41,80";"50,37";"60,86"
"SEZIONE 1137";"";"15,28";"40,45";"46,53";"57,14"
"SEZIONE 1141";"";"19,32";"43,18";"49,81";"60,04"
"SEZIONE 1142";"";"13,54";"39,49";"46,26";"55,29"
"SEZIONE 1143";"";"13,56";"33,33";"38,24";"46,57"
"SEZIONE 1144";"";"17,77";"40,96";"48,34";"58,89"
"SEZIONE 1148";"";"17,21";"45,40";"53,26";"65,58"
"SEZIONE 1149";"";"15,94";"39,03";"42,35";"53,70"
"SEZIONE 1151";"";"15,76";"45,15";"55,00";"65,91"
"SEZIONE 1152 (Sezione ospedaliera)";"";"-";"-";"-";"-"
"SEZIONE 1154";"";"15,21";"36,00";"41,10";"48,70"
"SEZIONE 1155";"";"12,96";"36,50";"41,54";"48,76"
"SEZIONE 1156";"";"0,82";"40,25";"43,12";"54,21"
"SEZIONE 1159";"";"14,82";"41,66";"47,67";"56,31"
"SEZIONE 1161";"";"11,42";"36,99";"42,34";"51,30"
"SEZIONE 1163";"";"14,79";"33,38";"38,87";"47,89"
"SEZIONE 1164";"";"15,41";"37,82";"43,70";"54,34"
"SEZIONE 1165";"";"20,20";"41,20";"50,51";"62,77"
"SEZIONE 1167";"";"17,55";"41,42";"47,23";"62,32"
"SEZIONE 1168";"";"15,53";"43,54";"50,51";"65,46"
"SEZIONE 1170";"";"21,05";"44,43";"51,55";"61,92"
"SEZIONE 1172";"";"15,23";"42,15";"50,77";"63,64"
"SEZIONE 1173";"";"16,58";"42,01";"48,54";"61,91"
"SEZIONE 1174";"";"17,47";"48,34";"54,21";"65,43"
"SEZIONE 1175";"";"11,55";"39,02";"47,87";"59,83"
"SEZIONE 1176";"";"15,39";"41,37";"48,93";"59,25"
"SEZIONE 1178";"";"10,56";"34,01";"41,52";"51,78"
"SEZIONE 1181";"";"19,80";"43,52";"49,20";"60,12"
"SEZIONE 1182";"";"15,21";"39,07";"46,15";"56,73"
"SEZIONE 1184";"";"17,42";"47,16";"51,80";"65,15"
"SEZIONE 1185";"";"17,16";"51,01";"58,16";"68,41"
"SEZIONE 1186";"";"16,96";"45,69";"54,22";"65,39"
"SEZIONE 1187";"";"19,20";"46,59";"53,64";"65,80"
"SEZIONE 1188";"";"20,12";"43,99";"50,65";"62,08"
"SEZIONE 1190";"";"20,12";"44,19";"52,22";"62,40"
"SEZIONE 1191";"";"18,21";"50,74";"56,82";"70,56"
"SEZIONE 1192";"";"19,06";"48,92";"59,83";"70,26"
"SEZIONE 1194";"";"19,13";"49,70";"58,80";"68,36"
"SEZIONE 1196";"";"17,40";"46,67";"55,07";"67,04"
"SEZIONE 1200";"";"12,85";"41,46";"48,61";"56,56"
"SEZIONE 1201";"";"16,02";"42,32";"49,80";"60,88"
"SEZIONE 1203";"";"14,94";"44,34";"55,19";"67,68"
"SEZIONE 1204";"";"15,54";"43,45";"52,39";"65,12"
"SEZIONE 1205";"";"16,96";"49,12";"57,05";"69,38"
"SEZIONE 1207";"";"17,23";"42,40";"50,57";"61,90"
"SEZIONE 1209";"";"13,61";"41,09";"47,46";"60,18"
"SEZIONE 1210";"";"19,32";"46,39";"51,38";"60,84"
"SEZIONE 1211";"";"15,69";"41,28";"47,99";"56,45"
"SEZIONE 1212";"";"17,97";"45,93";"56,21";"67,19"
"SEZIONE 1213";"";"12,98";"33,70";"40,33";"51,10"
"SEZIONE 1214";"";"18,58";"46,71";"57,03";"68,39"
"SEZIONE 1215";"";"20,57";"51,69";"58,54";"69,10"
"SEZIONE 1216";"";"15,91";"44,23";"51,60";"60,04"
"SEZIONE 1218";"";"17,91";"54,69";"58,72";"67,85"
"SEZIONE 1219";"";"15,88";"49,00";"58,49";"69,98"
"SEZIONE 1220";"";"17,25";"48,05";"54,15";"65,51"
"SEZIONE 1221";"";"21,11";"51,03";"57,48";"67,45"
"SEZIONE 1222";"";"17,30";"44,74";"51,91";"63,19"
"SEZIONE 1227";"";"14,95";"40,20";"51,09";"62,41"
"SEZIONE 1229";"";"20,99";"49,38";"59,01";"70,99"
"SEZIONE 1230";"";"17,11";"46,05";"55,86";"66,51"
"SEZIONE 1232";"";"22,12";"52,96";"61,06";"73,21"
"SEZIONE 1233";"";"15,34";"48,42";"59,52";"71,06"
"SEZIONE 1236";"";"15,21";"45,62";"55,67";"67,29"
"SEZIONE 1237";"";"16,52";"47,68";"55,57";"67,58"
"SEZIONE 1241";"";"16,31";"44,40";"56,74";"68,37"
"SEZIONE 1242";"";"16,26";"48,65";"58,13";"71,55"
"SEZIONE 1244";"";"19,25";"50,59";"60,02";"73,28"
"SEZIONE 1245";"";"21,14";"50,64";"57,72";"68,76"
"SEZIONE 1246";"";"17,24";"47,92";"55,26";"67,85"
"SEZIONE 1247";"";"20,46";"47,20";"54,71";"67,67"
"SEZIONE 1249";"";"17,11";"48,28";"59,13";"69,99"
"SEZIONE 1251";"";"21,20";"50,32";"56,83";"67,56"
"SEZIONE 1254";"";"17,55";"46,78";"56,49";"67,60"
"SEZIONE 1255";"";"17,37";"47,71";"55,71";"68,00"
"SEZIONE 1256";"";"17,66";"40,16";"49,84";"60,94"
"SEZIONE 1257";"";"15,90";"44,42";"50,07";"62,55"
"SEZIONE 1258";"";"14,17";"35,26";"41,19";"51,73"
