"";"";"";"Domenica";""
"Ente";"Sezioni";"% ore 12";"% ore 19";"% ore 23"
"SEZIONE 112";"";"19,15";"49,85";"62,28"
"SEZIONE 113";"";"22,82";"49,25";"59,01"
"SEZIONE 114";"";"21,74";"54,77";"65,50"
"SEZIONE 115";"";"19,18";"42,47";"47,88"
"SEZIONE 116";"";"23,61";"54,43";"66,23"
"SEZIONE 117";"";"18,68";"50,14";"59,97"
"SEZIONE 118";"";"19,29";"48,94";"56,24"
"SEZIONE 119";"";"24,25";"53,29";"64,67"
"SEZIONE 120";"";"24,85";"55,45";"61,67"
"SEZIONE 121";"";"23,37";"53,11";"60,39"
"SEZIONE 122";"";"25,25";"54,88";"64,81"
"SEZIONE 123";"";"21,87";"53,10";"62,09"
"SEZIONE 124";"";"20,95";"46,65";"52,09"
"SEZIONE 125";"";"18,41";"45,87";"57,94"
"SEZIONE 126";"";"26,52";"53,31";"61,50"
"SEZIONE 127";"";"20,61";"53,99";"62,94"
"SEZIONE 128";"";"23,62";"51,46";"57,73"
"SEZIONE 129";"";"16,60";"46,05";"54,22"
"SEZIONE 130";"";"20,00";"44,90";"52,39"
"SEZIONE 131";"";"21,10";"50,33";"57,54"
"SEZIONE 132";"";"24,53";"56,45";"65,71"
"SEZIONE 133";"";"16,46";"61,14";"71,78"
"SEZIONE 134";"";"17,37";"35,14";"41,83"
"SEZIONE 135";"";"20,03";"42,24";"49,92"
"SEZIONE 136";"";"21,01";"47,42";"52,70"
"SEZIONE 137";"";"18,65";"48,90";"57,71"
"SEZIONE 138";"";"22,22";"53,15";"61,11"
"SEZIONE 139";"";"19,71";"50,16";"58,81"
"SEZIONE 140";"";"20,62";"50,65";"57,31"
"SEZIONE 141";"";"19,04";"45,10";"52,68"
"SEZIONE 142";"";"20,85";"48,89";"55,90"
"SEZIONE 143";"";"22,56";"51,46";"61,85"
"SEZIONE 144";"";"19,43";"55,61";"64,77"
"SEZIONE 145";"";"22,49";"53,07";"63,75"
"SEZIONE 146";"";"22,37";"52,42";"61,60"
"SEZIONE 147";"";"23,22";"55,18";"65,68"
"SEZIONE 148";"";"24,32";"52,07";"60,36"
"SEZIONE 149";"";"21,66";"50,29";"57,64"
"SEZIONE 150";"";"21,82";"52,94";"61,10"
"SEZIONE 151";"";"22,98";"50,81";"59,87"
"SEZIONE 152";"";"21,11";"51,86";"62,84"
"SEZIONE 153";"";"22,26";"56,44";"63,75"
"SEZIONE 154";"";"25,16";"57,14";"66,15"
"SEZIONE 155";"";"22,12";"52,05";"62,79"
"SEZIONE 156";"";"23,65";"54,84";"67,32"
"SEZIONE 157";"";"19,65";"50,80";"61,72"
"SEZIONE 158";"";"23,41";"54,02";"65,65"
"SEZIONE 159";"";"19,21";"54,42";"63,00"
"SEZIONE 160";"";"24,28";"52,35";"62,82"
"SEZIONE 161";"";"22,15";"58,48";"69,72"
"SEZIONE 162";"";"23,59";"50,68";"61,34"
"SEZIONE 163";"";"24,57";"55,71";"65,57"
"SEZIONE 164";"";"24,52";"53,54";"64,58"
"SEZIONE 165";"";"20,43";"51,37";"61,29"
"SEZIONE 166";"";"23,39";"55,92";"66,42"
"SEZIONE 167";"";"19,88";"54,61";"65,42"
"SEZIONE 168";"";"23,44";"58,60";"65,45"
"SEZIONE 169";"";"22,59";"49,91";"59,72"
"SEZIONE 170";"";"24,26";"52,58";"61,35"
"SEZIONE 171";"";"20,34";"53,30";"63,25"
"SEZIONE 172";"";"21,87";"56,67";"67,54"
"SEZIONE 173";"";"19,32";"54,55";"61,99"
"SEZIONE 174";"";"26,13";"54,20";"62,46"
"SEZIONE 175";"";"18,81";"50,60";"61,94"
"SEZIONE 176";"";"20,75";"52,84";"62,72"
"SEZIONE 177";"";"23,29";"55,54";"63,84"
"SEZIONE 178";"";"21,61";"47,69";"60,95"
"SEZIONE 179";"";"22,36";"56,21";"66,30"
"SEZIONE 180";"";"25,38";"55,03";"63,71"
"SEZIONE 181";"";"21,92";"53,96";"64,59"
"SEZIONE 182";"";"20,67";"55,68";"61,64"
"SEZIONE 183";"";"20,76";"52,37";"61,83"
"SEZIONE 184";"";"19,74";"52,78";"61,40"
"SEZIONE 185";"";"20,52";"49,46";"59,11"
"SEZIONE 186";"";"19,84";"47,52";"55,52"
"SEZIONE 187";"";"21,05";"52,19";"59,21"
"SEZIONE 188";"";"19,74";"46,78";"53,95"
"SEZIONE 189";"";"13,36";"29,89";"33,48"
"SEZIONE 190";"";"22,21";"52,28";"59,31"
"SEZIONE 191";"";"19,74";"55,12";"63,89"
"SEZIONE 192";"";"21,95";"49,64";"58,68"
"SEZIONE 193";"";"20,36";"54,75";"64,65"
"SEZIONE 194";"";"18,81";"48,32";"61,21"
"SEZIONE 195";"";"17,51";"46,60";"56,87"
"SEZIONE 196";"";"20,97";"49,68";"60,16"
"SEZIONE 197";"";"17,47";"51,37";"62,32"
"SEZIONE 198";"";"20,03";"50,45";"61,23"
"SEZIONE 199";"";"23,98";"48,44";"59,87"
"SEZIONE 200";"";"21,02";"51,18";"61,49"
"SEZIONE 201";"";"21,44";"50,82";"58,76"
