"";"";"";"Domenica";""
"Ente";"Sezioni";"% ore 12";"% ore 19";"% ore 23"
"SEZIONE 112";"";"8,59";"26,47";"33,02"
"SEZIONE 113";"";"11,94";"31,80";"38,06"
"SEZIONE 114";"";"14,96";"42,87";"50,71"
"SEZIONE 115";"";"9,91";"27,24";"32,78"
"SEZIONE 116";"";"15,70";"39,36";"45,66"
"SEZIONE 117";"";"9,04";"29,52";"33,91"
"SEZIONE 118";"";"7,65";"19,97";"26,07"
"SEZIONE 119";"";"9,54";"26,22";"31,82"
"SEZIONE 120";"";"11,91";"26,49";"32,92"
"SEZIONE 121";"";"11,46";"26,42";"30,76"
"SEZIONE 122";"";"11,76";"29,95";"36,26"
"SEZIONE 123";"";"6,91";"21,02";"24,68"
"SEZIONE 124";"";"6,12";"17,23";"22,45"
"SEZIONE 125";"";"8,24";"19,39";"23,75"
"SEZIONE 126";"";"7,84";"18,28";"22,51"
"SEZIONE 127";"";"6,53";"21,46";"27,65"
"SEZIONE 128";"";"6,28";"20,65";"25,97"
"SEZIONE 129";"";"8,74";"17,34";"20,21"
"SEZIONE 130";"";"5,16";"17,23";"20,28"
"SEZIONE 131";"";"6,30";"17,97";"22,87"
"SEZIONE 132";"";"5,46";"17,81";"22,21"
"SEZIONE 133";"";"8,30";"22,92";"27,72"
"SEZIONE 134";"";"4,98";"18,45";"22,14"
"SEZIONE 135";"";"13,83";"41,50";"49,55"
"SEZIONE 136";"";"13,76";"32,60";"38,51"
"SEZIONE 137";"";"15,68";"39,43";"48,34"
"SEZIONE 138";"";"8,58";"22,44";"25,75"
"SEZIONE 139";"";"14,44";"31,59";"36,61"
"SEZIONE 140";"";"12,67";"33,15";"39,14"
"SEZIONE 141";"";"10,01";"23,54";"27,57"
"SEZIONE 142";"";"8,80";"20,57";"25,83"
"SEZIONE 143";"";"5,64";"18,26";"24,83"
"SEZIONE 144";"";"15,01";"34,58";"42,49"
"SEZIONE 145";"";"11,58";"25,76";"31,98"
"SEZIONE 146";"";"9,33";"26,81";"36,74"
"SEZIONE 147";"";"11,06";"28,66";"35,91"
"SEZIONE 148";"";"9,00";"28,57";"36,33"
"SEZIONE 149";"";"11,90";"28,50";"37,05"
"SEZIONE 150";"";"9,28";"29,58";"35,73"
"SEZIONE 151";"";"13,45";"31,31";"38,68"
"SEZIONE 152";"";"13,42";"33,56";"40,50"
"SEZIONE 153";"";"9,44";"26,72";"34,72"
"SEZIONE 154";"";"11,94";"30,97";"38,17"
"SEZIONE 155";"";"12,61";"31,27";"39,68"
"SEZIONE 156";"";"8,92";"21,97";"30,57"
