"";"";"";"Domenica";""
"Ente";"Sezioni";"% ore 12";"% ore 19";"% ore 23"
"SEZIONE 489";"";"20,52";"47,83";"56,11"
"SEZIONE 490";"";"11,66";"33,48";"40,32"
"SEZIONE 491";"";"14,21";"37,00";"45,31"
"SEZIONE 492";"";"15,51";"33,80";"40,86"
"SEZIONE 493";"";"16,55";"37,27";"45,83"
"SEZIONE 494";"";"16,69";"41,16";"51,72"
"SEZIONE 495";"";"15,76";"37,94";"46,16"
"SEZIONE 496";"";"12,48";"32,86";"43,05"
"SEZIONE 497";"";"15,11";"37,02";"44,06"
"SEZIONE 498";"";"21,31";"45,70";"55,33"
"SEZIONE 499";"";"13,43";"33,43";"42,39"
"SEZIONE 500";"";"13,96";"33,57";"41,47"
"SEZIONE 501";"";"11,94";"30,39";"37,52"
"SEZIONE 502";"";"15,22";"33,94";"42,46"
"SEZIONE 503";"";"13,92";"37,51";"45,38"
"SEZIONE 504";"";"11,28";"24,61";"31,13"
"SEZIONE 505";"";"15,33";"40,72";"50,42"
"SEZIONE 506";"";"18,49";"42,80";"51,58"
"SEZIONE 507";"";"9,99";"24,54";"31,57"
"SEZIONE 508";"";"17,67";"41,51";"50,21"
"SEZIONE 509";"";"8,40";"26,77";"37,58"
"SEZIONE 510";"";"19,02";"41,84";"49,76"
"SEZIONE 511";"";"14,09";"34,98";"42,65"
"SEZIONE 512";"";"14,81";"34,66";"43,82"
"SEZIONE 513";"";"14,70";"47,02";"54,63"
"SEZIONE 514";"";"18,31";"44,66";"53,12"
"SEZIONE 515";"";"14,04";"32,38";"38,36"
"SEZIONE 516";"";"11,55";"36,45";"43,47"
"SEZIONE 517";"";"13,62";"37,63";"49,64"
"SEZIONE 518";"";"17,64";"41,45";"49,63"
"SEZIONE 519";"";"15,66";"49,26";"55,56"
"SEZIONE 520";"";"15,79";"39,28";"47,27"
"SEZIONE 521";"";"12,25";"34,10";"40,81"
"SEZIONE 522";"";"10,14";"28,71";"35,41"
"SEZIONE 523";"";"15,27";"38,80";"46,82"
"SEZIONE 524";"";"19,08";"45,33";"55,07"
"SEZIONE 525";"";"13,03";"35,34";"41,98"
"SEZIONE 526";"";"18,72";"42,08";"49,76"
"SEZIONE 527";"";"14,65";"35,23";"43,43"
"SEZIONE 528";"";"14,85";"38,86";"46,52"
"SEZIONE 529";"";"16,18";"41,79";"51,84"
"SEZIONE 530";"";"14,64";"36,55";"42,73"
"SEZIONE 531";"";"13,08";"31,00";"36,08"
"SEZIONE 532";"";"16,55";"40,94";"52,66"
"SEZIONE 533";"";"13,36";"35,45";"42,89"
"SEZIONE 534";"";"17,63";"41,37";"49,69"
"SEZIONE 535";"";"16,29";"36,17";"41,70"
"SEZIONE 536";"";"7,83";"20,89";"25,99"
"SEZIONE 537";"";"9,47";"22,24";"26,11"
"SEZIONE 538";"";"17,66";"41,53";"49,35"
"SEZIONE 539";"";"12,99";"31,63";"37,01"
"SEZIONE 540";"";"16,77";"39,94";"45,37"
"SEZIONE 541";"";"14,00";"27,85";"35,21"
"SEZIONE 542";"";"11,63";"28,11";"35,54"
"SEZIONE 543";"";"15,94";"34,13";"42,52"
"SEZIONE 544";"";"14,38";"32,84";"43,01"
"SEZIONE 545";"";"18,07";"36,96";"45,24"
"SEZIONE 546";"";"16,37";"36,49";"44,59"
"SEZIONE 547";"";"10,32";"22,60";"29,18"
"SEZIONE 548";"";"15,82";"37,65";"44,31"
"SEZIONE 549";"";"17,49";"43,71";"51,50"
"SEZIONE 550";"";"14,16";"35,78";"46,96"
"SEZIONE 551";"";"16,61";"34,12";"40,43"
"SEZIONE 552";"";"13,09";"38,83";"46,09"
"SEZIONE 553";"";"14,22";"35,34";"43,54"
"SEZIONE 554";"";"14,98";"37,29";"45,71"
"SEZIONE 555";"";"18,95";"42,03";"50,19"
"SEZIONE 556";"";"10,78";"30,70";"37,38"
"SEZIONE 557";"";"16,88";"41,26";"50,65"
"SEZIONE 558";"";"8,01";"21,81";"26,35"
"SEZIONE 559";"";"6,54";"17,91";"24,44"
"SEZIONE 560";"";"5,62";"18,30";"23,92"
"SEZIONE 561";"";"10,32";"21,94";"26,56"
"SEZIONE 562";"";"9,15";"21,85";"26,43"
"SEZIONE 563";"";"7,57";"18,87";"23,36"
"SEZIONE 564";"";"8,18";"19,96";"24,95"
"SEZIONE 565";"";"6,62";"13,67";"21,44"
"SEZIONE 566";"";"9,36";"26,66";"32,12"
"SEZIONE 567";"";"8,74";"21,80";"27,16"
"SEZIONE 568";"";"8,85";"20,37";"26,21"
"SEZIONE 569";"";"6,84";"19,21";"27,22"
"SEZIONE 570";"";"9,99";"21,10";"27,38"
"SEZIONE 571";"";"10,81";"24,86";"29,32"
"SEZIONE 572";"";"10,70";"23,78";"29,00"
"SEZIONE 573";"";"9,58";"25,08";"33,55"
"SEZIONE 574";"";"10,91";"26,19";"31,55"
"SEZIONE 575";"";"8,96";"18,16";"23,05"
"SEZIONE 576";"";"8,16";"23,03";"31,05"
"SEZIONE 577";"";"8,02";"24,94";"31,23"
"SEZIONE 578";"";"10,49";"26,02";"31,94"
"SEZIONE 579";"";"8,35";"22,89";"30,52"
"SEZIONE 580";"";"9,15";"24,33";"31,63"
"SEZIONE 581";"";"8,66";"23,06";"31,22"
"SEZIONE 582";"";"6,62";"21,17";"27,69"
"SEZIONE 583";"";"11,20";"28,89";"37,26"
"SEZIONE 584";"";"8,66";"26,72";"35,80"
"SEZIONE 585";"";"9,45";"23,43";"28,84"
"SEZIONE 586";"";"12,29";"30,49";"39,01"
"SEZIONE 587";"";"13,73";"26,61";"30,35"
"SEZIONE 588";"";"8,61";"22,35";"26,71"
"SEZIONE 589";"";"7,69";"18,55";"21,72"
"SEZIONE 590";"";"9,60";"26,93";"33,27"
"SEZIONE 591";"";"9,45";"25,19";"32,98"
"SEZIONE 592";"";"10,92";"27,59";"36,97"
"SEZIONE 593";"";"11,73";"25,95";"34,09"
"SEZIONE 594";"";"11,80";"25,00";"27,80"
"SEZIONE 595";"";"9,33";"29,55";"37,68"
"SEZIONE 596";"";"7,40";"16,18";"21,33"
"SEZIONE 597";"";"9,14";"21,19";"29,09"
"SEZIONE 598";"";"13,84";"29,56";"36,98"
"SEZIONE 599";"";"10,16";"24,09";"31,64"
"SEZIONE 600";"";"12,41";"29,59";"38,60"
"SEZIONE 601";"";"7,53";"21,08";"28,77"
"SEZIONE 602";"";"4,89";"16,31";"22,02"
"SEZIONE 603";"";"15,81";"30,21";"39,48"
"SEZIONE 604";"";"13,19";"29,48";"36,34"
"SEZIONE 605";"";"8,80";"26,68";"34,17"
"SEZIONE 606";"";"8,53";"18,94";"28,50"
"SEZIONE 607";"";"7,79";"23,85";"32,60"
"SEZIONE 608";"";"9,51";"26,58";"33,45"
"SEZIONE 609";"";"9,32";"25,09";"31,43"
"SEZIONE 610";"";"10,49";"26,60";"34,77"
"SEZIONE 611";"";"8,22";"20,02";"26,92"
"SEZIONE 612";"";"7,20";"21,42";"30,26"
"SEZIONE 613";"";"8,04";"16,99";"21,27"
"SEZIONE 614";"";"9,86";"18,76";"23,04"
"SEZIONE 615";"";"4,96";"14,09";"19,62"
"SEZIONE 616";"";"9,00";"25,64";"33,69"
"SEZIONE 617";"";"7,76";"22,29";"27,71"
"SEZIONE 618";"";"5,87";"19,28";"25,59"
"SEZIONE 619";"";"11,26";"28,89";"35,65"
"SEZIONE 620";"";"8,33";"19,23";"22,89"
"SEZIONE 621";"";"6,38";"20,16";"26,20"
"SEZIONE 622";"";"4,99";"17,95";"24,93"
"SEZIONE 623";"";"6,52";"16,02";"20,94"
"SEZIONE 624";"";"8,74";"25,68";"33,05"
"SEZIONE 625";"";"7,68";"22,38";"26,73"
"SEZIONE 626";"";"9,65";"26,07";"36,34"
"SEZIONE 627";"";"8,31";"24,28";"31,63"
"SEZIONE 628";"";"6,01";"20,07";"26,80"
"SEZIONE 629";"";"13,00";"29,97";"37,49"
"SEZIONE 630";"";"10,18";"26,54";"31,01"
"SEZIONE 631";"";"7,94";"20,06";"22,37"
"SEZIONE 632";"";"11,54";"31,94";"39,80"
"SEZIONE 633";"";"10,36";"19,11";"27,46"
"SEZIONE 634";"";"7,05";"23,85";"32,69"
"SEZIONE 635";"";"6,90";"19,75";"26,27"
"SEZIONE 636";"";"11,58";"28,73";"35,75"
"SEZIONE 637";"";"8,71";"26,33";"34,73"
"SEZIONE 638";"";"7,67";"18,71";"25,30"
"SEZIONE 639";"";"9,99";"29,07";"36,86"
"SEZIONE 640";"";"8,33";"20,69";"25,56"
"SEZIONE 641";"";"7,95";"20,80";"27,61"
"SEZIONE 642";"";"13,71";"33,98";"42,35"
"SEZIONE 643";"";"9,23";"19,05";"24,62"
"SEZIONE 644";"";"5,12";"17,10";"23,09"
"SEZIONE 645";"";"6,77";"19,76";"27,18"
"SEZIONE 646";"";"12,03";"26,00";"34,51"
"SEZIONE 647";"";"7,36";"22,19";"30,74"
"SEZIONE 648";"";"11,85";"27,17";"36,06"
"SEZIONE 649";"";"12,90";"32,00";"38,58"
"SEZIONE 650";"";"6,28";"15,83";"21,56"
"SEZIONE 651";"";"9,16";"24,98";"30,28"
"SEZIONE 652";"";"7,90";"24,49";"36,33"
"SEZIONE 653";"";"7,20";"21,61";"25,74"
"SEZIONE 654";"";"7,84";"23,07";"31,02"
"SEZIONE 655";"";"6,97";"17,44";"22,27"
"SEZIONE 656";"";"8,46";"27,63";"36,67"
"SEZIONE 657";"";"11,40";"27,40";"38,20"
"SEZIONE 658";"";"10,02";"29,95";"38,13"
"SEZIONE 659";"";"11,36";"28,98";"37,21"
"SEZIONE 660";"";"8,07";"25,05";"30,64"
"SEZIONE 661";"";"10,14";"28,33";"36,84"
"SEZIONE 662";"";"5,92";"19,02";"29,27"
"SEZIONE 663";"";"7,44";"17,61";"22,43"
"SEZIONE 664";"";"8,63";"23,25";"30,75"
"SEZIONE 665";"";"11,89";"30,21";"36,55"
"SEZIONE 666";"";"11,67";"27,42";"36,29"
"SEZIONE 667";"";"7,38";"24,01";"34,65"
"SEZIONE 668";"";"9,60";"26,83";"37,23"
"SEZIONE 669";"";"14,46";"37,65";"46,93"
"SEZIONE 670";"";"11,22";"28,98";"37,37"
"SEZIONE 671";"";"6,14";"16,96";"22,27"
"SEZIONE 672";"";"5,04";"13,23";"16,51"
"SEZIONE 673";"";"8,60";"23,29";"30,90"
"SEZIONE 674";"";"15,93";"36,39";"46,17"
"SEZIONE 675";"";"8,56";"26,62";"34,26"
"SEZIONE 676";"";"9,12";"24,39";"31,35"
"SEZIONE 677";"";"14,81";"36,26";"44,79"
"SEZIONE 678";"";"5,43";"15,39";"19,71"
"SEZIONE 679";"";"13,13";"36,06";"41,67"
"SEZIONE 680";"";"5,62";"14,64";"20,65"
"SEZIONE 681";"";"7,38";"16,92";"22,31"
"SEZIONE 682";"";"4,36";"14,02";"19,47"
"SEZIONE 683";"";"7,61";"19,29";"25,69"
"SEZIONE 684";"";"7,30";"18,42";"25,10"
"SEZIONE 685";"";"10,02";"22,44";"29,44"
"SEZIONE 686";"";"10,89";"25,41";"31,04"
"SEZIONE 687";"";"4,76";"17,02";"25,84"
"SEZIONE 688";"";"9,86";"22,58";"29,40"
"SEZIONE 689";"";"7,20";"19,96";"28,19"
"SEZIONE 690";"";"8,60";"28,96";"37,33"
"SEZIONE 691";"";"8,02";"17,78";"24,35"
"SEZIONE 692";"";"6,82";"16,70";"24,31"
"SEZIONE 693";"";"9,96";"29,45";"33,00"
"SEZIONE 694";"";"8,22";"19,48";"27,05"
"SEZIONE 695";"";"13,73";"33,87";"41,35"
"SEZIONE 696";"";"11,80";"28,11";"34,10"
"SEZIONE 697";"";"12,47";"28,21";"35,35"
"SEZIONE 698";"";"6,90";"16,65";"20,61"
"SEZIONE 699";"";"11,53";"31,66";"37,91"
"SEZIONE 700";"";"7,36";"18,25";"23,91"
"SEZIONE 701";"";"7,65";"23,14";"29,71"
"SEZIONE 702";"";"12,77";"34,39";"40,83"
"SEZIONE 703";"";"7,21";"22,39";"29,23"
"SEZIONE 704";"";"10,32";"31,19";"36,07"
"SEZIONE 705";"";"7,25";"21,14";"29,74"
"SEZIONE 706";"";"11,25";"26,92";"35,23"
"SEZIONE 707";"";"11,93";"31,16";"38,90"
"SEZIONE 708";"";"12,69";"31,61";"38,49"
"SEZIONE 709";"";"11,80";"30,31";"38,25"
"SEZIONE 710";"";"9,91";"28,02";"37,28"
"SEZIONE 711";"";"7,10";"20,62";"27,72"
"SEZIONE 712";"";"9,62";"27,35";"34,51"
"SEZIONE 713";"";"9,57";"26,28";"33,02"
"SEZIONE 714";"";"9,23";"23,18";"27,90"
"SEZIONE 715";"";"10,90";"24,69";"32,28"
"SEZIONE 716";"";"7,51";"24,61";"33,66"
"SEZIONE 717";"";"9,22";"29,25";"36,48"
"SEZIONE 718";"";"12,50";"30,79";"37,09"
"SEZIONE 719";"";"8,14";"19,25";"26,15"
"SEZIONE 720";"";"9,48";"26,93";"33,49"
"SEZIONE 721";"";"10,14";"28,61";"34,86"
"SEZIONE 722";"";"13,95";"30,40";"40,17"
"SEZIONE 723";"";"12,19";"28,89";"34,93"
"SEZIONE 724";"";"5,58";"17,60";"24,46"
"SEZIONE 725";"";"13,32";"27,80";"33,64"
"SEZIONE 726";"";"10,29";"29,90";"36,27"
"SEZIONE 727";"";"7,35";"18,51";"21,18"
"SEZIONE 728";"";"11,10";"25,26";"30,43"
"SEZIONE 729";"";"9,41";"26,35";"32,62"
"SEZIONE 730";"";"8,77";"22,18";"26,69"
"SEZIONE 731";"";"14,40";"21,60";"27,36"
"SEZIONE 732";"";"9,74";"20,89";"24,18"
"SEZIONE 733";"";"12,24";"28,29";"36,52"
"SEZIONE 734";"";"11,30";"27,25";"36,06"
"SEZIONE 735";"";"10,74";"30,17";"36,47"
"SEZIONE 736";"";"10,41";"25,30";"34,26"
"SEZIONE 737";"";"12,21";"24,27";"30,93"
"SEZIONE 738";"";"7,02";"17,92";"23,38"
"SEZIONE 739";"";"8,91";"22,16";"27,55"
"SEZIONE 740";"";"9,18";"23,06";"29,08"
"SEZIONE 741";"";"6,44";"15,02";"20,82"
"SEZIONE 742";"";"11,85";"29,67";"37,78"
"SEZIONE 743";"";"7,03";"16,85";"21,09"
"SEZIONE 744";"";"8,17";"19,83";"27,04"
"SEZIONE 745";"";"11,16";"26,61";"33,49"
"SEZIONE 746";"";"6,54";"17,08";"22,94"
"SEZIONE 747";"";"13,61";"35,74";"43,08"
"SEZIONE 748";"";"12,02";"30,36";"37,66"
"SEZIONE 749";"";"9,31";"23,99";"34,17"
"SEZIONE 750";"";"12,46";"30,12";"35,33"
"SEZIONE 751";"";"10,08";"30,53";"40,75"
"SEZIONE 752";"";"12,13";"27,38";"36,50"
"SEZIONE 753";"";"14,30";"30,90";"37,11"
"SEZIONE 754";"";"10,43";"25,00";"31,41"
"SEZIONE 755";"";"9,75";"22,86";"28,04"
"SEZIONE 756";"";"8,88";"25,44";"31,72"
"SEZIONE 757";"";"7,63";"26,13";"31,69"
"SEZIONE 758";"";"8,19";"26,40";"33,42"
"SEZIONE 759";"";"9,05";"19,63";"26,47"
"SEZIONE 760";"";"7,54";"19,08";"24,00"
"SEZIONE 761";"";"8,61";"25,32";"29,75"
"SEZIONE 762";"";"6,57";"23,80";"31,05"
"SEZIONE 763";"";"12,48";"31,72";"38,47"
"SEZIONE 764";"";"6,26";"17,24";"21,13"
"SEZIONE 765";"";"10,58";"31,45";"41,63"
"SEZIONE 766";"";"12,59";"33,66";"41,56"
"SEZIONE 767";"";"10,42";"30,94";"39,06"
"SEZIONE 768";"";"10,91";"31,57";"41,68"
"SEZIONE 769";"";"11,10";"25,65";"34,26"
"SEZIONE 770";"";"9,61";"30,55";"38,62"
"SEZIONE 771";"";"9,99";"31,93";"39,94"
"SEZIONE 772";"";"10,58";"32,52";"39,47"
"SEZIONE 773";"";"10,92";"29,38";"39,62"
"SEZIONE 774";"";"10,59";"29,51";"40,10"
"SEZIONE 775";"";"9,88";"28,68";"36,37"
"SEZIONE 776";"";"9,52";"29,50";"34,27"
"SEZIONE 777";"";"10,34";"29,82";"37,95"
"SEZIONE 778";"";"12,36";"34,11";"40,95"
"SEZIONE 779";"";"9,48";"25,46";"36,27"
"SEZIONE 780";"";"10,29";"25,19";"34,25"
"SEZIONE 781";"";"10,83";"30,72";"37,08"
"SEZIONE 782";"";"9,07";"23,80";"32,59"
"SEZIONE 783";"";"6,22";"23,42";"30,92"
"SEZIONE 784";"";"11,88";"31,67";"45,14"
"SEZIONE 785";"";"13,24";"32,86";"42,32"
"SEZIONE 786";"";"10,58";"28,35";"35,77"
"SEZIONE 787";"";"17,24";"42,48";"54,55"
"SEZIONE 788";"";"9,15";"21,74";"25,83"
"SEZIONE 789";"";"15,34";"29,99";"40,60"
"SEZIONE 790";"";"9,75";"19,98";"25,73"
"SEZIONE 791";"";"11,18";"26,91";"33,22"
"SEZIONE 792";"";"10,05";"22,30";"25,61"
"SEZIONE 793";"";"12,94";"27,25";"31,47"
"SEZIONE 794";"";"12,27";"32,20";"41,31"
"SEZIONE 795";"";"13,74";"34,87";"42,15"
"SEZIONE 796";"";"18,21";"43,08";"51,67"
"SEZIONE 797";"";"7,61";"21,17";"26,15"
"SEZIONE 798";"";"9,09";"27,27";"33,99"
"SEZIONE 799";"";"11,98";"32,81";"39,53"
"SEZIONE 800";"";"14,74";"30,96";"39,07"
"SEZIONE 801";"";"14,27";"36,05";"44,31"
"SEZIONE 802";"";"14,20";"38,66";"45,75"
"SEZIONE 803";"";"17,28";"45,94";"56,57"
"SEZIONE 804";"";"9,86";"19,32";"24,18"
"SEZIONE 805";"";"9,69";"22,61";"29,21"
"SEZIONE 806";"";"14,69";"39,44";"48,02"
"SEZIONE 807";"";"16,92";"36,44";"43,38"
"SEZIONE 808";"";"14,01";"43,95";"55,29"
"SEZIONE 809";"";"14,67";"39,35";"48,26"
"SEZIONE 810";"";"16,38";"34,34";"43,20"
"SEZIONE 811";"";"13,30";"35,78";"44,27"
"SEZIONE 812";"";"13,76";"32,11";"40,48"
"SEZIONE 813";"";"11,57";"33,68";"42,23"
"SEZIONE 814";"";"14,72";"34,38";"47,42"
"SEZIONE 815";"";"17,25";"39,49";"47,20"
"SEZIONE 816";"";"9,01";"23,58";"29,75"
"SEZIONE 817";"";"13,35";"31,84";"39,41"
"SEZIONE 818";"";"15,69";"38,18";"48,67"
"SEZIONE 819";"";"7,34";"19,90";"27,54"
"SEZIONE 820";"";"11,03";"31,34";"39,43"
"SEZIONE 821";"";"8,92";"26,94";"35,19"
"SEZIONE 822";"";"10,97";"30,34";"38,84"
"SEZIONE 823";"";"11,84";"26,32";"35,53"
"SEZIONE 824";"";"10,68";"27,59";"35,15"
"SEZIONE 825";"";"8,56";"22,96";"28,60"
"SEZIONE 826";"";"13,48";"37,86";"46,10"
"SEZIONE 827";"";"7,13";"20,85";"26,28"
"SEZIONE 828";"";"8,53";"23,27";"31,26"
"SEZIONE 829";"";"8,90";"22,30";"29,06"
"SEZIONE 830";"";"6,25";"23,40";"28,63"
"SEZIONE 831";"";"8,96";"20,69";"25,44"
"SEZIONE 832";"";"9,81";"22,01";"26,68"
"SEZIONE 833";"";"7,60";"20,78";"28,98"
"SEZIONE 834";"";"9,20";"20,11";"26,02"
"SEZIONE 835";"";"10,66";"24,59";"30,87"
"SEZIONE 836";"";"4,38";"12,71";"17,08"
"SEZIONE 837";"";"8,44";"19,55";"24,25"
"SEZIONE 838";"";"9,58";"22,63";"28,86"
"SEZIONE 839";"";"14,29";"35,02";"44,47"
"SEZIONE 840";"";"12,54";"27,28";"32,90"
"SEZIONE 841";"";"7,78";"16,26";"20,79"
"SEZIONE 842";"";"8,46";"31,24";"31,92"
"SEZIONE 843";"";"10,74";"25,15";"30,98"
"SEZIONE 844";"";"9,56";"23,96";"29,61"
"SEZIONE 845";"";"7,15";"15,39";"22,18"
"SEZIONE 846";"";"4,58";"12,68";"17,91"
"SEZIONE 847";"";"8,59";"15,72";"20,26"
"SEZIONE 848";"";"14,15";"34,26";"42,36"
"SEZIONE 849";"";"9,63";"22,40";"28,78"
"SEZIONE 850";"";"8,20";"19,02";"23,65"
"SEZIONE 851";"";"10,32";"20,40";"24,67"
"SEZIONE 852";"";"6,41";"17,69";"24,57"
"SEZIONE 853";"";"5,17";"13,27";"18,95"
"SEZIONE 854";"";"6,98";"15,88";"19,48"
"SEZIONE 855";"";"7,83";"17,93";"24,89"
"SEZIONE 856";"";"16,61";"43,80";"50,40"
"SEZIONE 857";"";"12,46";"28,83";"34,88"
"SEZIONE 858";"";"11,17";"24,41";"31,17"
"SEZIONE 859";"";"8,82";"19,50";"24,69"
"SEZIONE 860";"";"10,27";"22,16";"27,75"
"SEZIONE 861";"";"11,20";"28,71";"36,94"
"SEZIONE 862";"";"6,80";"11,28";"27,96"
"SEZIONE 863";"";"9,72";"26,28";"30,62"
"SEZIONE 864";"";"11,16";"27,42";"36,16"
"SEZIONE 865";"";"8,98";"22,72";"28,61"
"SEZIONE 866";"";"8,20";"24,24";"32,08"
"SEZIONE 867";"";"8,62";"22,32";"29,63"
"SEZIONE 868";"";"6,07";"19,46";"24,91"
"SEZIONE 869";"";"6,61";"16,73";"19,97"
"SEZIONE 870 (Sezione ospedaliera)";"";"-";"-";"-"
"SEZIONE 871 (Sezione ospedaliera)";"";"-";"-";"-"
"SEZIONE 872 (Sezione ospedaliera)";"";"-";"-";"-"
"SEZIONE 873 (Sezione ospedaliera)";"";"-";"-";"-"
"SEZIONE 874 (Sezione ospedaliera)";"";"-";"-";"-"
"SEZIONE 875 (Sezione ospedaliera)";"";"-";"-";"-"
"SEZIONE 876 (Sezione ospedaliera)";"";"-";"-";"-"
"SEZIONE 877 (Sezione ospedaliera)";"";"-";"-";"-"
"SEZIONE 878 (Sezione ospedaliera)";"";"-";"-";"-"
"SEZIONE 879 (Sezione ospedaliera)";"";"-";"-";"-"
"SEZIONE 880 (Sezione ospedaliera)";"";"-";"-";"-"
"SEZIONE 881 (Sezione ospedaliera)";"";"-";"-";"-"
"SEZIONE 882 (Sezione ospedaliera)";"";"-";"-";"-"
"SEZIONE 883 (Sezione ospedaliera)";"";"-";"-";"-"
