"";"";"";"Domenica";"";"Lunedi"
"Ente";"Sezioni";"% ore 12";"% ore 19";"% ore 23";"% ore 15"
"SEZIONE 94";"";"18,07";"46,67";"56,10";"69,07"
"SEZIONE 95";"";"19,19";"46,22";"53,36";"66,39"
"SEZIONE 96";"";"21,94";"51,50";"59,58";"75,17"
"SEZIONE 97";"";"20,86";"53,48";"64,03";"76,14"
"SEZIONE 98";"";"18,72";"45,66";"53,12";"67,58"
"SEZIONE 99";"";"19,62";"50,41";"57,11";"69,68"
"SEZIONE 100";"";"20,93";"53,58";"61,55";"73,99"
"SEZIONE 101";"";"17,72";"48,62";"54,25";"67,19"
"SEZIONE 102";"";"18,71";"50,54";"61,74";"75,69"
"SEZIONE 103";"";"21,91";"49,60";"57,80";"70,43"
"SEZIONE 104";"";"21,42";"52,00";"61,40";"72,85"
"SEZIONE 105";"";"21,49";"51,58";"61,19";"72,19"
"SEZIONE 106";"";"21,99";"51,83";"58,77";"71,86"
"SEZIONE 107";"";"20,78";"49,10";"58,22";"71,16"
"SEZIONE 108";"";"20,72";"49,31";"57,99";"71,18"
"SEZIONE 109";"";"18,54";"37,98";"45,52";"56,27"
"SEZIONE 110";"";"16,22";"40,14";"43,64";"53,29"
"SEZIONE 111";"";"18,46";"38,27";"42,86";"54,58"
"SEZIONE 112";"";"16,79";"37,04";"40,37";"52,22"
"SEZIONE 113";"";"17,65";"37,60";"41,18";"52,69"
"SEZIONE 114";"";"17,08";"46,32";"54,95";"67,20"
"SEZIONE 115";"";"15,96";"35,18";"42,56";"56,13"
"SEZIONE 116";"";"16,24";"37,79";"42,04";"55,31"
"SEZIONE 117";"";"17,82";"37,62";"42,80";"55,03"
"SEZIONE 118";"";"18,92";"37,73";"43,00";"54,59"
"SEZIONE 119";"";"16,63";"35,37";"40,47";"49,78"
"SEZIONE 120";"";"21,48";"56,92";"66,40";"79,05"
"SEZIONE 121";"";"21,93";"53,86";"62,61";"76,70"
"SEZIONE 122";"";"16,71";"49,23";"58,80";"72,96"
"SEZIONE 123";"";"18,68";"54,90";"64,09";"77,81"
"SEZIONE 124";"";"17,79";"51,29";"61,84";"74,25"
"SEZIONE 125";"";"20,09";"51,69";"61,17";"75,40"
"SEZIONE 126";"";"17,84";"48,94";"58,97";"73,13"
"SEZIONE 127";"";"20,84";"54,86";"63,17";"73,66"
"SEZIONE 128";"";"20,51";"53,28";"63,21";"74,42"
"SEZIONE 129";"";"19,78";"54,98";"62,76";"75,85"
"SEZIONE 130";"";"20,15";"49,67";"59,58";"70,93"
"SEZIONE 131";"";"18,06";"46,97";"59,81";"72,76"
"SEZIONE 132";"";"21,75";"50,35";"61,35";"73,29"
"SEZIONE 133";"";"17,95";"51,54";"61,78";"76,43"
"SEZIONE 134";"";"22,74";"50,74";"61,71";"74,29"
"SEZIONE 135";"";"21,68";"48,82";"58,77";"72,63"
"SEZIONE 136";"";"21,66";"52,65";"61,87";"73,96"
"SEZIONE 137";"";"17,83";"49,46";"59,06";"73,75"
"SEZIONE 138";"";"18,88";"54,65";"62,44";"77,32"
"SEZIONE 139";"";"18,50";"47,45";"58,46";"69,69"
"SEZIONE 140";"";"22,33";"54,43";"64,87";"80,47"
"SEZIONE 141";"";"20,04";"52,59";"61,85";"75,08"
"SEZIONE 142";"";"21,03";"54,70";"63,31";"74,72"
"SEZIONE 143";"";"20,18";"56,21";"64,88";"74,57"
