"";"";"";"Domenica";"";"Lunedi"
"Ente";"Sezioni";"% ore 12";"% ore 19";"% ore 23";"% ore 15"
"SEZIONE 95";"";"15,89";"39,71";"46,03";"62,93"
"SEZIONE 96";"";"22,07";"47,35";"51,82";"63,27"
"SEZIONE 97";"";"17,96";"46,53";"52,11";"63,54"
"SEZIONE 98";"";"20,16";"47,13";"52,40";"63,26"
"SEZIONE 99";"";"18,85";"44,14";"51,95";"61,84"
"SEZIONE 100";"";"17,32";"36,26";"40,42";"52,66"
"SEZIONE 101";"";"18,65";"42,47";"51,94";"67,43"
"SEZIONE 102";"";"19,33";"45,74";"55,14";"68,26"
"SEZIONE 103";"";"17,73";"46,82";"53,18";"68,16"
"SEZIONE 104";"";"18,22";"41,33";"48,74";"61,19"
"SEZIONE 105";"";"19,73";"43,27";"49,12";"63,81"
"SEZIONE 106";"";"17,75";"38,17";"45,82";"57,77"
"SEZIONE 107";"";"18,96";"43,60";"50,57";"65,64"
"SEZIONE 108";"";"19,14";"49,03";"58,06";"68,49"
"SEZIONE 109";"";"23,52";"48,52";"55,77";"68,79"
"SEZIONE 110";"";"17,37";"41,58";"48,42";"60,92"
"SEZIONE 111";"";"14,27";"37,61";"41,50";"52,74"
"SEZIONE 112";"";"15,69";"38,78";"43,11";"56,25"
"SEZIONE 113";"";"16,87";"41,37";"49,53";"60,51"
"SEZIONE 114";"";"15,76";"43,97";"51,13";"63,71"
"SEZIONE 115";"";"15,86";"40,97";"46,90";"60,14"
"SEZIONE 116";"";"19,03";"43,03";"50,34";"63,03"
"SEZIONE 117";"";"16,98";"37,97";"44,10";"55,66"
"SEZIONE 118";"";"20,70";"45,91";"52,75";"66,11"
"SEZIONE 119";"";"21,00";"43,71";"50,71";"64,29"
"SEZIONE 120";"";"17,72";"37,65";"46,31";"59,12"
"SEZIONE 121";"";"11,85";"25,38";"28,42";"41,03"
"SEZIONE 122";"";"14,22";"37,07";"41,60";"53,86"
"SEZIONE 123";"";"10,38";"34,07";"41,51";"57,63"
"SEZIONE 124";"";"16,44";"33,38";"39,40";"52,07"
"SEZIONE 125";"";"18,49";"36,64";"39,66";"51,60"
"SEZIONE 126";"";"12,13";"25,10";"29,15";"40,73"
"SEZIONE 127";"";"14,02";"32,44";"34,98";"48,73"
"SEZIONE 128";"";"15,32";"30,78";"34,47";"45,39"
"SEZIONE 129";"";"16,26";"38,50";"43,56";"57,52"
"SEZIONE 130";"";"18,44";"35,55";"40,53";"57,64"
"SEZIONE 131";"";"19,82";"38,71";"43,18";"59,06"
"SEZIONE 132";"";"13,98";"38,23";"43,61";"56,03"
"SEZIONE 133";"";"17,19";"32,81";"36,11";"45,14"
"SEZIONE 134";"";"17,78";"41,88";"48,21";"56,75"
"SEZIONE 135";"";"16,85";"36,28";"43,02";"56,02"
"SEZIONE 136";"";"14,93";"35,79";"43,71";"54,86"
"SEZIONE 137";"";"13,99";"35,62";"41,84";"52,85"
