"";"";"";"Domenica";"";"Lunedi"
"Ente";"Sezioni";"% ore 12";"% ore 19";"% ore 23";"% ore 15"
"SEZIONE 95";"";"11,66";"44,84";"55,53";"70,72"
"SEZIONE 96";"";"11,17";"44,16";"54,29";"67,53"
"SEZIONE 97";"";"9,63";"40,30";"49,24";"64,51"
"SEZIONE 98";"";"11,21";"41,78";"53,00";"66,51"
"SEZIONE 99";"";"7,43";"38,71";"50,07";"62,83"
"SEZIONE 100";"";"8,99";"42,42";"53,02";"65,37"
"SEZIONE 101";"";"11,86";"45,39";"55,20";"67,64"
"SEZIONE 102";"";"9,04";"41,40";"51,31";"67,49"
"SEZIONE 103";"";"10,63";"36,54";"46,00";"62,59"
"SEZIONE 104";"";"7,46";"41,23";"50,39";"64,66"
"SEZIONE 105";"";"8,18";"37,90";"46,20";"57,72"
"SEZIONE 106";"";"10,05";"41,11";"51,31";"69,40"
"SEZIONE 107";"";"9,94";"36,26";"43,87";"55,23"
"SEZIONE 108";"";"10,17";"43,03";"51,89";"66,08"
"SEZIONE 109";"";"8,20";"38,89";"44,58";"57,14"
"SEZIONE 110";"";"8,74";"37,31";"47,97";"61,41"
"SEZIONE 111";"";"14,45";"45,73";"56,24";"68,46"
"SEZIONE 112";"";"14,27";"48,13";"57,64";"68,88"
"SEZIONE 113";"";"13,79";"42,01";"54,23";"70,69"
"SEZIONE 114";"";"9,69";"40,92";"50,48";"65,74"
"SEZIONE 115";"";"13,15";"44,20";"55,94";"71,47"
"SEZIONE 116";"";"10,87";"41,19";"52,52";"65,45"
"SEZIONE 117";"";"10,88";"39,85";"50,88";"65,74"
"SEZIONE 118";"";"11,36";"43,18";"53,85";"71,33"
"SEZIONE 119";"";"10,97";"46,48";"55,48";"71,80"
"SEZIONE 120";"";"8,35";"40,57";"54,59";"67,61"
"SEZIONE 121";"";"15,15";"45,29";"55,80";"66,77"
"SEZIONE 122";"";"13,43";"46,99";"57,83";"73,49"
"SEZIONE 123";"";"7,11";"33,18";"41,71";"54,50"
"SEZIONE 124";"";"10,90";"44,92";"54,79";"68,78"
"SEZIONE 125";"";"10,28";"42,29";"51,25";"63,88"
"SEZIONE 126";"";"9,67";"38,52";"47,38";"61,31"
"SEZIONE 127";"";"10,96";"42,50";"53,79";"66,95"
"SEZIONE 128";"";"11,63";"41,32";"50,09";"62,08"
"SEZIONE 129";"";"12,37";"47,42";"57,14";"67,01"
"SEZIONE 130";"";"10,62";"48,52";"60,62";"76,48"
"SEZIONE 131";"";"10,80";"41,90";"50,57";"66,34"
"SEZIONE 132";"";"8,67";"39,04";"49,76";"63,25"
"SEZIONE 133";"";"9,97";"41,82";"50,05";"63,92"
"SEZIONE 134";"";"11,14";"44,57";"53,11";"65,70"
"SEZIONE 135";"";"9,25";"40,54";"50,48";"66,67"
"SEZIONE 136";"";"11,46";"45,42";"60,11";"75,34"
"SEZIONE 137";"";"12,84";"44,10";"55,38";"69,15"
"SEZIONE 138";"";"11,85";"42,67";"54,22";"70,22"
"SEZIONE 139";"";"12,21";"43,35";"55,28";"69,82"
"SEZIONE 140";"";"9,97";"43,34";"55,03";"70,37"
"SEZIONE 141";"";"8,40";"40,11";"49,57";"62,98"
"SEZIONE 142";"";"9,64";"41,10";"48,22";"62,46"
"SEZIONE 143";"";"11,83";"45,02";"53,39";"65,95"
