"";"";"";"Domenica";"";"Lunedi"
"Ente";"Sezioni";"% ore 12";"% ore 19";"% ore 23";"% ore 15"
"Sezione 101";"";"23,81";"52,26";"60,05";"75,15"
"Sezione 102";"";"19,21";"47,68";"56,84";"71,30"
"Sezione 103";"";"20,12";"48,92";"57,47";"73,98"
"Sezione 104";"";"19,81";"50,80";"60,60";"74,76"
"Sezione 105";"";"20,73";"57,13";"63,71";"75,05"
"Sezione 106";"";"22,02";"51,26";"59,75";"75,69"
"Sezione 107";"";"22,70";"54,91";"61,35";"74,39"
"Sezione 108";"";"18,55";"46,99";"56,39";"68,80"
"Sezione 109";"";"22,81";"52,16";"60,35";"71,46"
"Sezione 110";"";"23,78";"49,58";"56,15";"70,25"
"Sezione 111";"";"21,34";"47,02";"52,39";"65,17"
"Sezione 112";"";"21,43";"44,84";"49,87";"64,81"
"Sezione 113";"";"21,33";"56,27";"63,01";"77,35"
"Sezione 114";"";"25,38";"55,71";"63,81";"81,53"
"Sezione 115";"";"19,49";"53,19";"60,70";"74,76"
"Sezione 116";"";"18,93";"53,92";"62,33";"82,41"
"Sezione 117";"";"17,00";"41,77";"48,86";"63,05"
"Sezione 118";"";"20,53";"50,86";"59,07";"72,98"
"Sezione 119";"";"21,51";"55,57";"65,93";"78,18"
"Sezione 120";"";"18,88";"54,76";"61,53";"74,21"
"Sezione 121";"";"16,77";"40,44";"46,87";"60,66"
"Sezione 122";"";"18,54";"49,54";"57,90";"69,76"
"Sezione 123";"";"20,91";"49,67";"58,08";"73,45"
"Sezione 124";"";"21,35";"54,05";"60,09";"73,78"
"Sezione 125";"";"21,64";"52,49";"57,46";"73,25"
"Sezione 126";"";"20,11";"51,30";"60,33";"74,56"
"Sezione 127";"";"22,15";"50,06";"61,57";"73,07"
"Sezione 128";"";"23,62";"51,25";"51,25";"73,02"
"Sezione 129";"";"22,89";"49,40";"55,78";"67,47"
"Sezione 130";"";"20,31";"48,12";"55,52";"67,25"
"Sezione 131";"";"19,33";"50,52";"57,99";"69,20"
"Sezione 132";"";"23,69";"52,95";"60,45";"76,21"
"Sezione 133";"";"22,09";"53,10";"59,96";"73,12"
"Sezione 134";"";"18,59";"49,57";"57,99";"74,47"
"Sezione 135";"";"22,75";"55,63";"63,40";"77,03"
"Sezione 136";"";"22,72";"52,44";"61,29";"72,13"
"Sezione 137";"";"19,81";"50,67";"61,59";"75,07"
"Sezione 138";"";"21,55";"52,34";"62,32";"76,72"
"Sezione 139";"";"25,55";"55,47";"65,25";"81,13"
"Sezione 140";"";"23,49";"55,69";"64,04";"76,15"
"Sezione 141";"";"18,29";"48,48";"57,69";"69,92"
"Sezione 142";"";"20,12";"51,27";"59,76";"71,27"
"Sezione 143";"";"24,46";"52,86";"61,34";"72,32"
"Sezione 144";"";"22,26";"49,40";"57,98";"70,00"
"Sezione 145";"";"20,49";"50,49";"56,95";"71,46"
"Sezione 146";"";"18,75";"47,84";"55,93";"68,97"
"Sezione 147";"";"18,10";"48,03";"59,05";"71,43"
"Sezione 148";"";"23,04";"54,14";"62,11";"76,10"
"Sezione 149";"";"18,73";"52,18";"59,93";"72,66"
"Sezione 150";"";"24,21";"49,18";"58,76";"71,88"
"Sezione 151";"";"20,21";"44,18";"54,48";"68,81"
"Sezione 152";"";"21,74";"48,35";"55,34";"69,04"
"Sezione 153";"";"20,97";"50,51";"58,82";"74,30"
"Sezione 154";"";"19,95";"48,78";"57,66";"69,83"
"Sezione 155";"";"20,12";"50,40";"57,46";"70,87"
"Sezione 156";"";"24,80";"54,90";"63,32";"73,36"
"Sezione 157";"";"21,03";"46,66";"55,42";"69,33"
"Sezione 158";"";"24,22";"53,76";"61,79";"73,58"
"Sezione 159";"";"21,93";"47,87";"58,27";"70,18"
"Sezione 160";"";"22,78";"51,20";"59,83";"70,62"
"Sezione 161";"";"20,63";"48,08";"56,05";"67,99"
"Sezione 162";"";"22,38";"53,45";"62,57";"73,07"
"Sezione 163";"";"21,79";"52,93";"61,64";"75,47"
"Sezione 164";"";"23,91";"53,40";"63,45";"77,17"
"Sezione 165";"";"24,37";"54,43";"62,03";"72,78"
"Sezione 166";"";"23,95";"54,07";"62,20";"76,05"
"Sezione 167";"";"18,50";"48,46";"55,86";"72,01"
"Sezione 168";"";"21,55";"51,58";"58,48";"75,00"
"Sezione 169";"";"16,93";"48,35";"58,25";"70,16"
"Sezione 170";"";"19,03";"54,73";"63,06";"74,21"
"Sezione 171";"";"19,15";"51,93";"62,12";"72,59"
"Sezione 172";"";"18,93";"47,94";"55,49";"69,08"
"Sezione 173";"";"20,29";"47,72";"54,23";"66,19"
"Sezione 174";"";"22,81";"51,26";"59,70";"72,16"
"Sezione 175";"";"16,10";"48,80";"57,90";"72,10"
"Sezione 176";"";"18,64";"56,27";"64,52";"76,16"
"Sezione 177";"";"13,21";"40,24";"46,55";"59,16"
"Sezione 178";"";"20,99";"48,23";"61,67";"74,41"
"Sezione 179";"";"25,10";"51,47";"59,15";"73,75"
"Sezione 180";"";"20,50";"50,91";"61,49";"71,90"
"Sezione 181";"";"20,97";"53,03";"61,01";"75,04"
"Sezione 182";"";"20,80";"44,00";"57,33";"76,53"
"Sezione 183";"";"23,57";"51,56";"59,51";"74,87"
"Sezione 184";"";"18,37";"43,62";"51,61";"64,94"
"Sezione 185";"";"18,36";"51,55";"64,16";"77,65"
"Sezione 186";"";"22,96";"48,30";"56,89";"69,78"
"Sezione 187";"";"18,89";"50,58";"59,22";"73,85"
"Sezione 188";"";"17,99";"46,47";"54,39";"69,21"
"Sezione 189";"";"23,43";"52,32";"58,04";"68,53"
"Sezione 190";"";"20,12";"42,21";"47,50";"60,06"
"Sezione 191";"";"21,51";"50,30";"57,57";"72,70"
"Sezione 192";"";"16,62";"45,11";"52,79";"63,69"
"Sezione 193";"";"22,14";"50,32";"58,82";"71,43"
"Sezione 194";"";"19,13";"49,86";"58,33";"72,54"
"Sezione 195";"";"19,89";"48,32";"56,54";"71,78"
"Sezione 196";"";"20,89";"53,29";"61,62";"76,41"
"Sezione 197";"";"20,53";"48,34";"55,50";"70,20"
"Sezione 198";"";"19,30";"55,33";"64,37";"77,73"
"Sezione 199";"";"22,62";"51,54";"60,03";"70,18"
"Sezione 200";"";"20,88";"52,25";"61,50";"76,50"
"Sezione 201";"";"22,88";"51,01";"60,19";"71,75"
"Sezione 202";"";"21,38";"54,85";"63,01";"75,67"
"Sezione 203";"";"20,55";"52,41";"60,90";"73,48"
"Sezione 204";"";"19,83";"54,34";"63,53";"73,66"
"Sezione 205";"";"13,23";"52,16";"61,07";"75,32"
"Sezione 206";"";"19,13";"48,48";"48,48";"76,09"
"Sezione 207";"";"23,39";"56,42";"63,07";"77,06"
"Sezione 208";"";"20,53";"47,68";"56,95";"69,32"
"Sezione 209";"";"20,53";"51,06";"60,11";"72,23"
"Sezione 210";"";"20,98";"56,22";"66,03";"76,84"
"Sezione 211";"";"19,95";"48,36";"60,09";"71,83"
