"";"";"";"Domenica";""
"Ente";"Sezioni";"% ore 12";"% ore 19";"% ore 23"
"SEZIONE 491";"";"15,66";"39,14";"44,98"
"SEZIONE 492 (Sezione ospedaliera)";"";"-";"-";"-"
"SEZIONE 493";"";"3,72";"10,02";"11,98"
"SEZIONE 494";"";"13,08";"36,14";"42,25"
"SEZIONE 495";"";"12,61";"39,09";"45,27"
"SEZIONE 496";"";"8,37";"26,76";"30,34"
"SEZIONE 497";"";"10,90";"36,72";"43,23"
"SEZIONE 498";"";"12,26";"34,05";"37,38"
"SEZIONE 499";"";"20,05";"47,95";"55,29"
"SEZIONE 500";"";"11,88";"28,98";"34,33"
"SEZIONE 501";"";"18,18";"48,69";"57,88"
"SEZIONE 502";"";"13,55";"34,64";"36,73"
"SEZIONE 503";"";"18,00";"44,76";"53,64"
"SEZIONE 504";"";"13,52";"32,90";"38,35"
"SEZIONE 505";"";"14,07";"39,26";"46,54"
"SEZIONE 506";"";"14,81";"46,52";"51,11"
"SEZIONE 507";"";"12,50";"31,70";"36,82"
"SEZIONE 508";"";"19,28";"48,84";"54,76"
"SEZIONE 509";"";"11,39";"28,42";"32,68"
"SEZIONE 510 (Sezione ospedaliera)";"";"-";"-";"-"
"SEZIONE 511";"";"18,02";"42,02";"47,88"
"SEZIONE 512";"";"21,89";"43,40";"47,67"
"SEZIONE 513";"";"22,27";"48,31";"57,22"
"SEZIONE 514";"";"13,97";"33,44";"38,62"
"SEZIONE 515";"";"5,82";"19,43";"22,39"
"SEZIONE 516";"";"10,46";"24,92";"29,13"
"SEZIONE 517";"";"17,04";"40,99";"47,18"
"SEZIONE 518";"";"21,84";"51,68";"59,35"
"SEZIONE 519";"";"7,12";"27,02";"29,77"
"SEZIONE 520";"";"8,76";"22,31";"28,26"
"SEZIONE 521";"";"8,32";"24,97";"27,78"
"SEZIONE 522";"";"11,70";"29,62";"33,21"
"SEZIONE 523";"";"11,68";"32,26";"37,23"
"SEZIONE 524";"";"8,48";"28,74";"32,85"
"SEZIONE 525";"";"22,94";"48,06";"55,21"
"SEZIONE 526";"";"21,78";"50,62";"59,13"
"SEZIONE 527";"";"7,09";"21,48";"24,02"
"SEZIONE 528";"";"8,75";"20,25";"24,97"
"SEZIONE 529";"";"6,96";"22,52";"27,31"
"SEZIONE 530";"";"17,91";"42,86";"53,19"
"SEZIONE 531";"";"11,21";"24,44";"28,82"
"SEZIONE 532";"";"20,70";"47,18";"54,71"
"SEZIONE 533";"";"17,03";"44,73";"51,59"
"SEZIONE 534";"";"2,47";"9,56";"11,28"
"SEZIONE 535";"";"18,06";"45,51";"53,76"
"SEZIONE 536";"";"15,28";"40,38";"44,47"
"SEZIONE 537";"";"15,86";"36,44";"39,64"
"SEZIONE 538";"";"10,59";"26,96";"29,84"
"SEZIONE 539";"";"14,73";"37,41";"43,00"
"SEZIONE 540";"";"10,41";"26,62";"32,16"
"SEZIONE 541";"";"16,44";"38,98";"42,87"
"SEZIONE 542";"";"12,96";"33,09";"38,99"
"SEZIONE 543";"";"15,78";"40,15";"45,96"
"SEZIONE 544";"";"8,82";"23,93";"29,68"
"SEZIONE 545";"";"15,76";"37,06";"43,88"
"SEZIONE 546";"";"17,58";"37,37";"45,87"
"SEZIONE 547";"";"15,83";"34,31";"38,61"
"SEZIONE 548";"";"11,19";"35,39";"41,21"
"SEZIONE 549";"";"11,85";"34,42";"38,47"
"SEZIONE 550";"";"10,02";"25,16";"29,00"
"SEZIONE 551";"";"8,09";"22,73";"25,72"
"SEZIONE 552";"";"14,52";"34,46";"38,67"
"SEZIONE 553";"";"18,05";"41,32";"44,72"
"SEZIONE 554";"";"22,34";"55,91";"62,29"
"SEZIONE 555";"";"23,67";"53,85";"60,24"
"SEZIONE 556";"";"11,33";"27,08";"29,04"
"SEZIONE 557";"";"19,42";"43,91";"54,70"
"SEZIONE 558";"";"19,95";"52,35";"59,59"
"SEZIONE 559";"";"12,24";"32,76";"36,20"
"SEZIONE 560";"";"8,05";"27,26";"31,92"
"SEZIONE 561";"";"16,94";"49,48";"56,03"
"SEZIONE 562";"";"11,99";"33,80";"39,16"
"SEZIONE 563";"";"13,34";"33,09";"40,12"
"SEZIONE 564";"";"6,75";"18,67";"20,36"
"SEZIONE 565";"";"10,44";"30,22";"34,49"
"SEZIONE 566";"";"6,58";"22,17";"26,18"
"SEZIONE 567";"";"12,55";"35,39";"42,06"
"SEZIONE 568";"";"12,24";"35,33";"40,89"
"SEZIONE 569";"";"7,62";"16,73";"17,47"
"SEZIONE 570";"";"9,77";"30,17";"33,76"
"SEZIONE 571";"";"13,99";"30,71";"34,86"
"SEZIONE 572";"";"5,80";"19,69";"22,71"
"SEZIONE 573";"";"18,99";"47,71";"55,45"
"SEZIONE 574";"";"21,36";"47,73";"56,82"
"SEZIONE 575";"";"20,18";"50,51";"54,96"
"SEZIONE 576";"";"21,71";"48,17";"48,71"
"SEZIONE 577";"";"25,33";"50,76";"57,83"
"SEZIONE 578";"";"14,76";"40,51";"48,59"
"SEZIONE 579";"";"13,42";"34,79";"38,59"
"SEZIONE 580";"";"5,93";"19,17";"22,04"
"SEZIONE 581";"";"17,32";"37,32";"41,95"
"SEZIONE 582";"";"8,44";"17,86";"20,53"
"SEZIONE 583";"";"11,90";"32,69";"37,21"
"SEZIONE 584";"";"8,10";"24,84";"28,62"
"SEZIONE 585";"";"11,66";"27,67";"30,43"
"SEZIONE 586";"";"7,73";"21,43";"25,88"
"SEZIONE 587";"";"7,56";"23,20";"26,49"
"SEZIONE 588";"";"7,55";"23,32";"27,52"
"SEZIONE 589";"";"12,26";"34,57";"37,60"
"SEZIONE 590";"";"8,31";"24,38";"29,13"
"SEZIONE 591";"";"3,97";"13,33";"15,64"
"SEZIONE 592";"";"6,98";"23,60";"27,82"
"SEZIONE 593";"";"11,44";"31,76";"36,15"
"SEZIONE 594";"";"9,63";"27,87";"32,60"
"SEZIONE 595";"";"12,31";"31,99";"37,56"
"SEZIONE 596";"";"11,25";"29,54";"34,15"
"SEZIONE 597";"";"9,56";"26,04";"31,91"
"SEZIONE 598";"";"9,50";"28,92";"34,67"
"SEZIONE 599";"";"11,56";"31,49";"35,26"
"SEZIONE 600";"";"12,74";"37,93";"42,76"
