"";"";"";"Domenica";""
"Ente";"Sezioni";"% ore 12";"% ore 19";"% ore 23"
"SEZIONE 112";"";"9,77";"25,19";"28,01"
"SEZIONE 113";"";"12,06";"31,52";"36,07"
"SEZIONE 114";"";"12,00";"19,29";"22,24"
"SEZIONE 115";"";"6,20";"18,76";"21,86"
"SEZIONE 116";"";"17,12";"41,50";"51,68"
"SEZIONE 117";"";"15,64";"46,31";"54,19"
"SEZIONE 118";"";"19,95";"41,39";"51,08"
"SEZIONE 119";"";"17,24";"40,17";"46,44"
"SEZIONE 120";"";"11,37";"32,56";"37,53"
"SEZIONE 121";"";"12,72";"32,37";"38,31"
"SEZIONE 122";"";"18,40";"39,47";"48,96"
"SEZIONE 123";"";"11,57";"32,78";"38,43"
"SEZIONE 124";"";"13,46";"28,65";"33,03"
"SEZIONE 125";"";"12,64";"31,61";"37,04"
"SEZIONE 126";"";"10,90";"30,40";"35,01"
"SEZIONE 127";"";"10,38";"27,06";"30,70"
"SEZIONE 128";"";"21,09";"45,15";"53,14"
"SEZIONE 129";"";"6,81";"22,87";"28,05"
"SEZIONE 130";"";"10,11";"28,44";"31,61"
"SEZIONE 131";"";"11,85";"35,69";"40,61"
"SEZIONE 132";"";"16,49";"37,06";"41,23"
"SEZIONE 133";"";"13,48";"35,15";"40,30"
"SEZIONE 134";"";"11,25";"30,23";"33,46"
"SEZIONE 135";"";"7,45";"23,66";"27,71"
"SEZIONE 136";"";"4,27";"13,05";"15,82"
"SEZIONE 137";"";"19,09";"50,99";"58,56"
"SEZIONE 138";"";"7,78";"21,22";"28,27"
"SEZIONE 139";"";"10,93";"28,76";"31,86"
"SEZIONE 140";"";"11,65";"24,36";"29,03"
"SEZIONE 141";"";"17,07";"49,03";"56,66"
"SEZIONE 142";"";"18,81";"47,18";"54,73"
"SEZIONE 143";"";"15,70";"53,84";"60,12"
"SEZIONE 144";"";"16,74";"40,89";"48,62"
"SEZIONE 145";"";"21,28";"48,94";"54,61"
"SEZIONE 146";"";"13,76";"40,80";"45,44"
"SEZIONE 147";"";"19,37";"46,47";"53,08"
"SEZIONE 148";"";"20,41";"48,47";"56,44"
"SEZIONE 149";"";"27,81";"50,06";"57,57"
"SEZIONE 150";"";"13,27";"31,31";"37,37"
"SEZIONE 151";"";"17,02";"36,63";"41,64"
"SEZIONE 152";"";"12,10";"34,90";"37,83"
"SEZIONE 153";"";"21,59";"45,91";"54,20"
"SEZIONE 154";"";"10,48";"26,88";"31,66"
"SEZIONE 155";"";"10,06";"22,18";"25,48"
"SEZIONE 156";"";"11,22";"30,61";"35,00"
"SEZIONE 157";"";"20,83";"48,36";"55,21"
"SEZIONE 158";"";"11,07";"28,48";"32,21"
"SEZIONE 159";"";"7,07";"23,06";"27,93"
"SEZIONE 160";"";"10,28";"28,27";"30,35"
"SEZIONE 161";"";"16,88";"39,64";"46,42"
"SEZIONE 162";"";"11,79";"30,24";"33,84"
"SEZIONE 163";"";"12,80";"34,84";"41,39"
"SEZIONE 164";"";"8,95";"25,93";"29,07"
"SEZIONE 165";"";"19,17";"44,10";"49,20"
"SEZIONE 166";"";"15,07";"32,69";"36,82"
"SEZIONE 167";"";"13,78";"30,33";"34,44"
"SEZIONE 168";"";"17,28";"42,86";"51,83"
"SEZIONE 169";"";"15,80";"40,28";"46,89"
"SEZIONE 170";"";"18,55";"46,47";"57,68"
"SEZIONE 171";"";"20,95";"51,19";"59,10"
"SEZIONE 172";"";"19,24";"48,45";"55,43"
"SEZIONE 173";"";"18,96";"56,26";"62,21"
"SEZIONE 174";"";"21,27";"50,29";"56,05"
"SEZIONE 175";"";"14,02";"36,42";"43,18"
"SEZIONE 176";"";"21,23";"48,28";"58,41"
"SEZIONE 177";"";"22,25";"49,88";"56,25"
"SEZIONE 178";"";"21,92";"47,84";"55,85"
"SEZIONE 179";"";"19,50";"48,22";"56,13"
"SEZIONE 180";"";"20,95";"49,07";"57,25"
"SEZIONE 181";"";"12,80";"36,14";"42,62"
"SEZIONE 182";"";"18,38";"42,66";"49,79"
"SEZIONE 183";"";"18,48";"49,53";"54,81"
"SEZIONE 184";"";"17,77";"44,88";"53,01"
"SEZIONE 185";"";"21,26";"51,57";"59,78"
"SEZIONE 186";"";"11,73";"30,23";"34,95"
"SEZIONE 187";"";"22,29";"52,84";"58,12"
"SEZIONE 188";"";"9,95";"27,23";"31,10"
"SEZIONE 189";"";"10,07";"32,40";"36,99"
"SEZIONE 190";"";"13,41";"36,05";"40,62"
"SEZIONE 191";"";"19,55";"50,83";"59,83"
"SEZIONE 192";"";"18,73";"46,50";"52,31"
"SEZIONE 193";"";"16,63";"39,53";"45,58"
"SEZIONE 194";"";"21,27";"46,09";"54,03"
"SEZIONE 195";"";"15,31";"42,52";"47,47"
"SEZIONE 196";"";"7,05";"23,01";"27,88"
"SEZIONE 197";"";"19,57";"45,84";"52,95"
"SEZIONE 198";"";"18,97";"43,59";"51,41"
"SEZIONE 199";"";"12,53";"29,90";"34,46"
"SEZIONE 200";"";"17,08";"38,34";"44,38"
"SEZIONE 201";"";"24,50";"49,93";"55,50"
"SEZIONE 202";"";"10,99";"27,47";"31,87"
"SEZIONE 203";"";"11,05";"20,18";"21,59"
"SEZIONE 204";"";"14,29";"34,79";"38,94"
"SEZIONE 205";"";"14,75";"39,42";"42,93"
"SEZIONE 206";"";"11,66";"34,42";"37,00"
"SEZIONE 207";"";"11,30";"34,03";"38,44"
"SEZIONE 208";"";"21,89";"45,88";"54,74"
"SEZIONE 209";"";"21,44";"49,79";"56,56"
"SEZIONE 210";"";"19,59";"46,89";"52,53"
"SEZIONE 211";"";"9,26";"27,16";"31,43"
"SEZIONE 212";"";"21,71";"48,89";"56,06"
"SEZIONE 213";"";"10,51";"45,90";"54,10"
"SEZIONE 214";"";"13,59";"35,66";"39,49"
"SEZIONE 215";"";"14,16";"36,10";"42,39"
"SEZIONE 216";"";"23,72";"50,43";"58,97"
"SEZIONE 217";"";"14,21";"37,24";"42,52"
"SEZIONE 218";"";"17,32";"38,63";"42,53"
"SEZIONE 219";"";"16,94";"40,96";"47,30"
"SEZIONE 220";"";"11,34";"34,78";"38,85"
"SEZIONE 221";"";"19,74";"42,06";"47,21"
"SEZIONE 222";"";"11,36";"31,21";"36,62"
"SEZIONE 223";"";"15,37";"38,18";"43,14"
"SEZIONE 224";"";"15,67";"40,86";"48,96"
"SEZIONE 225";"";"10,51";"30,38";"37,56"
"SEZIONE 226";"";"12,58";"33,64";"37,48"
"SEZIONE 227";"";"7,11";"18,22";"21,71"
"SEZIONE 228";"";"8,57";"22,16";"26,73"
"SEZIONE 229";"";"8,28";"20,52";"22,90"
"SEZIONE 230";"";"7,67";"25,14";"31,00"
"SEZIONE 231";"";"10,18";"33,40";"37,37"
"SEZIONE 232";"";"14,68";"27,15";"31,30"
"SEZIONE 233";"";"10,28";"30,95";"35,09"
"SEZIONE 234";"";"9,63";"25,93";"29,65"
"SEZIONE 235";"";"5,98";"20,18";"23,17"
"SEZIONE 236";"";"16,67";"37,50";"42,48"
"SEZIONE 237";"";"16,83";"41,97";"48,65"
"SEZIONE 238";"";"18,93";"47,92";"51,01"
"SEZIONE 239";"";"16,65";"38,07";"43,40"
"SEZIONE 240";"";"21,82";"50,18";"57,29"
"SEZIONE 241";"";"4,34";"12,87";"14,36"
"SEZIONE 242";"";"7,00";"20,36";"23,41"
"SEZIONE 243";"";"14,95";"40,22";"45,32"
"SEZIONE 244";"";"10,17";"31,70";"35,79"
"SEZIONE 245";"";"6,13";"23,41";"26,84"
"SEZIONE 246";"";"4,95";"18,75";"20,75"
"SEZIONE 247";"";"6,94";"17,87";"21,42"
"SEZIONE 248";"";"12,26";"32,49";"38,56"
"SEZIONE 249";"";"11,77";"30,29";"35,71"
"SEZIONE 250";"";"13,46";"36,35";"41,26"
"SEZIONE 251";"";"15,35";"37,04";"45,35"
"SEZIONE 252";"";"12,99";"33,65";"35,89"
"SEZIONE 253";"";"15,17";"36,52";"41,38"
"SEZIONE 254";"";"9,88";"23,55";"28,63"
"SEZIONE 255";"";"10,14";"31,53";"34,58"
"SEZIONE 256";"";"14,54";"37,59";"43,48"
"SEZIONE 257";"";"9,43";"26,49";"30,23"
"SEZIONE 258";"";"8,59";"23,25";"26,12"
"SEZIONE 259";"";"5,01";"16,96";"19,32"
"SEZIONE 260";"";"19,51";"44,54";"48,89"
"SEZIONE 261";"";"12,80";"30,68";"34,18"
"SEZIONE 262";"";"9,31";"26,66";"30,73"
"SEZIONE 263";"";"13,43";"32,25";"37,50"
"SEZIONE 264";"";"11,85";"30,54";"38,01"
"SEZIONE 265";"";"14,06";"30,64";"34,62"
"SEZIONE 266";"";"12,88";"34,36";"41,51"
"SEZIONE 267";"";"7,28";"22,91";"26,89"
"SEZIONE 268";"";"13,59";"32,42";"38,29"
"SEZIONE 269";"";"10,55";"29,73";"34,11"
"SEZIONE 270";"";"12,92";"37,50";"42,98"
