SEZIONE,UNIONE POPOLARE CON DE MAGISTRIS,ITALEXIT PER L'ITALIA,+EUROPA,ALLEANZA VERDI E SINISTRA,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,ITALIA SOVRANA E POPOLARE,MOVIMENTO 5 STELLE,VITA,AZIONE - ITALIA VIVA - CALENDA,LEGA PER SALVINI PREMIER,FRATELLI D'ITALIA CON GIORGIA MELONI,FORZA ITALIA,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,MASTELLA NOI DI CENTRO EUROPEISTI,TOTALE,AFFLUENZA
206,5,6,3,10,1,65,1,65,4,5,25,52,8,3,1,285,0.59623431
207,3,4,10,13,0,31,4,37,1,9,5,31,2,3,0,164,0.581560284
208,6,9,15,14,3,126,12,80,1,11,36,68,21,4,1,446,0.590728477
209,2,6,7,15,0,60,6,65,2,9,23,65,19,6,1,312,0.488262911
210,2,11,5,10,1,61,6,46,3,12,32,60,12,1,3,290,0.610526316
211,4,11,11,13,1,67,12,77,3,6,35,63,16,9,0,349,0.527987897
212,8,10,8,22,1,90,13,76,2,7,27,67,8,2,0,374,0.581648523
213,4,3,10,26,5,101,6,53,0,18,23,60,18,5,0,357,0.6
214,8,14,10,9,3,79,4,54,0,23,37,65,18,4,0,360,0.597014925
215,6,13,9,20,2,97,7,69,4,23,22,68,16,6,0,393,0.662731872
216,5,6,8,14,2,57,11,60,2,10,24,47,9,2,0,275,0.527831094
217,5,10,8,29,3,107,5,61,1,28,33,73,10,3,0,403,0.654220779
218,4,16,12,21,0,116,2,70,4,17,28,57,11,6,0,393,0.585692996
219,4,4,7,22,1,87,5,36,1,32,26,69,17,4,0,349,0.61013986
220,0,0,13,9,3,89,0,0,0,0,30,73,17,5,0,414,0.609720177
221,7,8,11,14,2,101,4,83,2,30,30,79,16,4,0,426,0.605113636
222,4,11,10,14,2,83,6,49,0,20,20,66,12,5,0,342,0.598949212
223,3,7,8,19,0,81,10,71,2,8,33,89,18,1,1,385,0.538461538
224,8,9,8,11,2,91,3,48,4,27,33,100,19,8,0,412,0.586894587
