SEZIONE,unione popolare,noi moderati,lega,fratelli d'italia,forza italia,italia sovrana e popolare,movimento 5 stelle,italexit,piu europa,alleanza sinistra verdi,partito democratico,impegno civico,azione italia viva,TOTALE,AFFLUENZA
177,2,3,27,75,40,5,210,5,6,11,54,3,11,452,0.3820794590025359
178,2,0,16,36,27,5,209,4,5,2,28,9,4,347,0.3279773156899811
179,4,1,31,120,34,3,195,11,6,12,74,0,15,506,0.4737827715355805
180,2,4,12,63,19,1,126,13,2,7,84,2,10,345,0.4521625163826999
181,3,2,15,50,21,2,130,10,1,5,73,3,6,321,0.4326145552560647
182,2,3,19,71,16,2,152,7,4,3,61,3,17,360,0.430622009569378
183,4,3,19,98,34,1,172,5,6,15,59,4,21,441,0.4862183020948181
184,7,1,8,68,34,5,202,11,2,8,65,1,18,430,0.3616484440706476
185,0,1,12,41,14,1,148,7,0,3,34,3,5,269,0.3610738255033557
186,1,0,11,23,19,0,171,1,0,1,22,6,0,255,0.3350854139290407
187,9,4,9,80,20,6,78,4,6,17,73,3,16,325,0.5489864864864865
188,9,3,20,164,35,7,205,9,10,21,170,4,28,685,0.5785472972972973
189,12,6,15,127,42,12,176,9,14,8,114,3,24,562,0.5805785123966942
190,0,2,5,10,5,0,10,0,0,1,12,0,4,49,
191,3,2,10,62,25,1,44,0,5,3,16,1,7,179,
