SEZIONE,ALLEANZA VERDI E SINISTRA,AZIONE - ITALIA VIVA - CALENDA,FORZA ITALIA,FRATELLI D'ITALIA CON GIORGIA MELONI,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,ITALEXIT PER L'ITALIA,ITALIA SOVRANA E POPOLARE,LEGA PER SALVINI PREMIER,MASTELLA NOI DI CENTRO EUROPEISTI,MOVIMENTO 5 STELLE,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,UNIONE POPOLARE CON DE MAGISTRIS,PIU-EUROPA,TOTALE,AFFLUENZA
681,1,2,35,15,8,1,1,5,0,163,1,8,7,4,251,0.375186846038864
682,7,2,14,17,2,1,2,3,2,172,0,16,3,1,242,0.3666666666666666
683,3,5,39,16,5,9,5,3,1,225,2,30,4,1,348,0.3786724700761698
684,6,25,39,23,15,7,2,10,0,269,0,36,2,10,444,0.4289855072463768
685,10,4,25,45,9,3,4,8,4,188,1,53,8,5,367,0.4343195266272189
686,5,12,38,53,12,11,2,11,5,203,3,53,13,2,423,0.4001892147587512
687,2,6,38,40,7,5,1,13,0,184,0,30,7,5,338,0.3603411513859275
688,15,8,77,71,4,3,3,12,4,208,1,42,8,1,457,0.4037102473498233
689,4,11,47,47,6,4,3,9,6,166,0,29,10,4,346,0.3604166666666666
690,8,11,54,56,6,0,2,10,0,114,0,33,13,10,317,0.3372340425531915
691,7,8,24,39,14,1,2,9,1,195,0,22,7,4,333,0.3264705882352941
692,12,12,34,39,12,1,0,9,0,220,1,23,1,6,370,0.3659742828882295
693,14,7,12,45,11,5,0,6,1,173,1,37,6,6,324,0.4512534818941504
694,3,6,30,25,13,7,0,8,5,234,1,38,12,4,386,0.3493212669683257
695,8,7,11,34,7,3,2,7,0,151,0,38,11,0,279,0.4894736842105263
696,6,10,47,50,14,4,2,14,0,209,3,50,11,7,427,0.3899543378995433
697,9,11,28,44,18,5,1,4,3,176,0,50,11,4,364,0.4227642276422764
698,3,7,20,31,17,0,1,8,2,171,2,15,2,5,284,0.2874493927125506
