SEZIONE,ALLEANZA VERDI E SINISTRA,AZIONE - ITALIA VIVA - CALENDA,FORZA ITALIA,FRATELLI D'ITALIA CON GIORGIA MELONI,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,ITALEXIT PER L'ITALIA,ITALIA SOVRANA E POPOLARE,LEGA PER SALVINI PREMIER,MASTELLA NOI DI CENTRO EUROPEISTI,MOVIMENTO 5 STELLE,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,UNIONE POPOLARE CON DE MAGISTRIS,PIU-EUROPA,TOTALE,AFFLUENZA
734,13,14,36,48,18,8,5,5,0,276,5,33,9,13,483,0.4964028776978417
735,19,29,30,74,0,0,1,5,1,191,6,42,13,7,418,0.4322647362978283
736,15,15,24,50,8,4,5,6,1,200,3,42,8,13,394,0.4729891956782713
737,4,11,26,39,5,2,2,10,0,159,0,35,7,3,303,0.420249653259362
738,5,13,35,39,9,2,0,8,0,257,0,21,6,6,401,0.4042338709677419
739,4,8,26,39,9,8,0,14,0,218,0,31,5,6,368,0.4139482564679415
740,8,5,31,44,6,5,3,5,0,187,0,28,2,4,328,0.346723044397463
741,6,2,21,32,7,4,2,1,0,252,1,18,3,0,349,0.3700954400848356
742,19,14,22,34,15,7,2,6,0,245,0,70,10,8,452,0.4783068783068783
743,5,0,17,16,11,5,4,4,1,231,0,26,2,1,323,0.3436170212765957
744,7,7,17,32,1,5,1,12,0,214,2,19,5,5,327,0.3968446601941747
745,5,4,10,31,8,0,1,2,0,197,0,19,8,2,287,0.4422187981510015
746,9,5,36,38,11,3,1,15,0,284,0,44,4,8,458,0.4049513704686118
747,21,18,41,66,16,3,2,16,0,223,5,64,9,8,492,0.574095682613769
748,17,9,47,32,7,4,4,2,0,220,1,62,16,8,429,0.448744769874477
749,12,8,18,46,10,2,4,5,0,258,0,29,4,7,403,0.4409190371991247
750,9,9,30,34,17,7,1,5,0,262,0,46,9,10,439,0.481359649122807
751,8,11,48,49,8,2,1,5,1,132,1,37,11,3,317,0.4738415545590433
752,10,13,34,48,6,2,4,7,0,206,0,46,19,7,402,0.4950738916256157
753,13,21,26,54,5,3,4,7,0,189,3,41,5,5,376,0.49933598937583
754,12,10,16,35,3,5,2,12,0,181,1,38,5,5,325,0.404228855721393
755,4,2,18,22,2,1,1,5,0,258,0,21,9,4,347,0.4016203703703703
756,5,8,25,54,8,7,3,6,0,177,0,56,11,3,363,0.4394673123486682
757,5,12,11,28,4,8,2,5,0,203,0,31,3,1,313,0.3902743142144638
758,12,12,16,58,10,2,1,7,0,218,0,20,12,3,371,0.4732142857142857
759,6,4,38,38,14,4,1,9,1,264,0,16,13,4,412,0.3976833976833976
760,9,4,11,20,11,2,2,4,0,161,0,22,3,2,251,0.383206106870229
761,7,6,14,24,2,1,6,8,0,237,0,38,11,4,358,0.4572158365261813
762,5,7,19,31,3,2,0,4,0,223,0,23,6,0,323,0.4261213720316623
763,6,13,33,58,6,4,0,5,2,203,2,47,2,7,388,0.4778325123152709
764,2,3,28,36,10,3,1,6,0,228,1,18,6,1,343,0.3969907407407407
765,18,47,56,48,14,6,5,13,0,228,3,71,21,7,537,0.521865889212828
766,11,32,36,87,18,4,7,9,0,243,2,59,15,6,529,0.4893617021276595
767,16,27,48,54,7,2,6,14,0,223,0,58,20,8,483,0.4878787878787878
768,14,52,40,71,15,19,6,16,0,223,0,9,16,68,549,0.481156879929886
769,11,50,21,52,22,4,5,9,0,246,0,60,36,4,520,0.488262910798122
770,14,35,99,68,13,8,4,15,1,185,1,76,19,11,549,0.5036697247706422
771,11,27,26,52,3,1,2,11,0,183,0,47,21,11,395,0.5051150895140665
772,10,23,58,47,12,8,6,10,0,233,1,70,19,9,506,0.4720149253731343
773,8,16,22,57,5,8,0,11,0,175,0,32,10,3,347,0.4571805006587615
774,8,35,10,39,5,3,2,7,0,128,1,61,16,10,325,0.4458161865569273
775,14,24,73,78,13,12,12,15,1,193,2,56,17,5,515,0.4759704251386321
776,19,27,81,72,8,3,4,18,1,225,2,45,10,10,525,0.5223880597014925
777,22,36,25,67,12,3,3,10,1,216,0,69,20,5,489,0.4710982658959537
778,16,22,30,61,20,8,8,11,2,190,2,96,13,14,493,0.5156903765690377
779,12,34,19,39,4,3,7,12,0,122,0,33,10,4,299,0.4814814814814814
780,3,23,21,36,31,2,0,7,0,156,3,29,16,7,334,0.4868804664723032
781,13,22,54,63,9,2,1,14,0,243,0,56,14,4,495,0.4745925215723873
782,5,26,37,60,19,6,7,8,1,265,0,37,8,2,481,0.4554924242424242
783,6,13,54,75,12,4,5,10,5,221,2,37,5,9,458,0.4167424931756142
784,6,16,21,70,8,5,2,3,24,193,2,47,18,11,426,0.4650655021834061
785,15,10,25,44,14,7,5,8,1,220,0,44,30,6,429,0.5107142857142857
786,16,19,21,40,9,6,6,14,3,190,1,76,20,8,429,0.4492146596858639
787,13,9,13,41,7,2,1,9,4,147,1,60,22,25,354,0.5619047619047619
788,12,2,36,29,12,2,2,9,3,233,3,32,12,7,394,0.4020408163265306
789,6,7,22,29,11,4,1,14,3,223,2,61,10,13,406,0.4393939393939394
790,5,7,20,19,14,5,0,3,0,193,1,20,6,5,298,0.3300110741971207
791,7,7,25,28,12,4,2,4,3,232,0,40,9,19,392,0.4197002141327623
792,5,6,14,23,12,3,2,10,1,238,1,22,3,17,357,0.4117647058823529
793,6,4,20,29,8,6,2,6,3,148,0,42,9,24,307,0.4087882822902796
794,16,20,28,41,6,2,8,9,0,177,0,68,20,6,401,0.4706572769953052
795,16,20,28,52,15,6,0,7,1,177,3,61,21,12,419,0.4745186862967157
796,23,12,17,74,11,8,2,12,0,155,1,88,12,16,431,0.5490445859872611
797,9,10,23,42,18,7,3,4,3,224,0,35,14,8,400,0.3868471953578336
798,12,16,23,26,8,2,2,11,2,167,0,34,18,7,328,0.4361702127659574
799,5,12,23,50,16,2,2,13,14,216,0,63,9,7,432,0.4690553745928338
800,19,11,13,38,21,6,0,6,5,191,3,79,17,18,427,0.5144578313253012
801,11,29,23,66,6,4,5,18,3,198,1,67,24,7,462,0.4973089343379978
802,19,26,23,49,12,10,0,6,4,164,4,95,14,9,435,0.5317848410757946
803,22,20,17,43,7,7,4,10,1,169,0,90,20,14,424,0.6198830409356725
804,3,5,19,23,7,1,1,6,2,195,2,17,4,49,334,0.4217171717171717
805,2,6,23,21,10,0,1,7,6,200,0,29,9,20,334,0.4304123711340206
806,18,22,34,77,9,7,8,4,4,182,1,89,25,18,498,0.5620767494356659
807,21,34,27,52,12,8,4,12,4,216,2,92,21,11,516,0.5414480587618048
808,16,61,32,70,15,6,1,4,11,118,0,107,21,10,472,0.6210526315789474
809,15,36,26,79,12,2,5,6,4,186,0,102,22,14,509,0.5508658008658008
810,12,19,34,54,9,1,4,14,1,164,0,69,20,10,411,0.4807017543859649
811,22,19,33,49,12,10,2,15,4,177,4,69,15,11,442,0.4977477477477477
812,8,16,25,27,10,5,5,12,2,239,0,61,16,9,435,0.5028901734104047
813,22,21,34,52,19,6,5,12,2,192,1,85,21,11,483,0.4839679358717434
814,28,24,26,56,14,8,7,3,2,189,4,68,24,8,461,0.4782157676348548
815,4,23,27,43,8,2,1,4,3,131,3,65,24,12,350,0.4971590909090909
816,10,3,17,24,13,7,2,2,0,197,0,23,11,7,316,0.3607305936073059
817,12,11,23,35,12,7,2,7,1,168,2,33,28,8,349,0.4395465994962216
818,22,25,15,67,14,8,3,8,11,229,0,100,20,11,533,0.5383838383838384
819,11,9,23,33,16,6,4,9,7,260,1,33,11,8,431,0.4081439393939394
820,10,24,56,79,20,2,5,11,5,250,0,60,15,8,545,0.4844444444444444
821,7,8,22,21,9,1,0,2,0,132,3,31,6,4,246,0.3974151857835218
822,15,22,50,62,9,8,6,15,15,224,9,47,16,6,504,0.4714686623012161
823,3,8,5,40,8,1,1,11,2,207,0,30,17,11,344,0.5021897810218978
824,11,3,19,41,7,4,1,5,0,213,0,63,15,5,387,0.4170258620689655
825,3,6,23,51,12,4,2,7,0,293,1,42,9,3,456,0.4363636363636363
826,15,25,22,54,7,4,1,11,1,260,3,109,33,8,553,0.5845665961945031
827,2,8,28,31,8,2,2,9,0,233,0,32,7,1,363,0.3809024134312697
828,4,4,11,28,7,5,0,11,1,192,1,29,3,2,298,0.4099037138927097
829,4,3,16,35,11,5,2,6,0,254,3,29,2,3,373,0.4162946428571428
830,2,4,15,31,10,2,3,8,0,183,0,22,3,3,286,0.4028169014084507
831,5,5,26,20,26,5,2,10,0,282,0,20,3,2,406,0.4215991692627207
832,3,2,14,16,16,2,2,69,0,267,0,12,6,3,412,0.4406417112299465
833,10,7,17,13,8,3,1,9,0,251,0,29,15,4,367,0.4400479616306954
834,5,1,26,20,15,0,0,9,0,244,1,24,2,3,350,0.4278728606356968
835,5,4,27,24,14,2,1,17,0,179,0,16,3,5,297,0.3991935483870967
836,2,2,6,6,7,1,0,3,0,130,2,7,2,2,170,0.3483606557377049
837,5,7,32,28,14,2,2,14,0,249,2,14,9,2,380,0.385395537525355
838,4,6,11,23,6,3,5,6,0,252,0,25,14,5,360,0.4035874439461883
839,14,17,19,30,11,25,1,13,0,268,0,68,17,4,487,0.5357535753575358
840,15,13,16,34,14,6,6,7,3,309,1,56,16,5,501,0.4906953966699314
841,3,4,24,29,11,0,0,9,1,250,0,20,9,4,364,0.3922413793103448
842,11,12,14,20,9,3,0,4,0,245,0,32,5,16,371,0.4620174346201743
843,5,6,13,18,3,6,1,2,0,196,0,13,13,6,282,0.4221556886227545
844,11,3,25,26,8,1,1,1,0,257,1,36,15,4,389,0.4365881032547699
845,2,1,28,15,12,1,2,9,0,279,0,10,1,1,361,0.4139908256880734
846,0,3,17,19,8,2,2,4,2,184,0,11,7,7,266,0.3312577833125778
847,1,1,12,17,10,1,0,4,0,194,0,8,2,4,254,0.3877862595419847
848,8,23,23,48,6,9,5,8,3,223,5,97,23,8,489,0.4969512195121951
849,7,1,20,20,10,1,0,8,0,262,0,22,5,1,357,0.3620689655172414
850,7,5,21,19,11,8,2,4,0,289,0,37,8,3,414,0.3969319271332694
851,7,1,13,26,13,4,1,15,0,240,0,16,2,12,350,0.3977272727272727
852,6,4,23,23,12,1,4,2,1,326,2,21,8,4,437,0.3979963570127504
853,10,5,30,10,8,1,3,4,0,231,0,15,7,2,326,0.3168124392614188
854,2,14,19,14,5,10,2,4,0,303,0,32,12,0,417,0.440337909186906
855,10,8,53,30,6,2,3,3,1,259,0,17,8,8,408,0.3550913838120104
856,17,30,22,66,11,8,6,11,0,186,1,92,33,5,488,0.5558086560364465
857,9,31,36,36,6,3,2,8,0,131,0,28,13,3,306,0.5117056856187291
858,9,6,19,16,7,0,0,6,0,228,0,31,11,4,337,0.4365284974093264
859,9,15,66,46,4,0,2,14,0,221,0,34,5,3,419,0.4266802443991853
860,7,12,53,47,11,4,2,3,3,253,1,37,10,9,452,0.4064748201438849
861,11,22,45,52,27,6,5,11,1,243,1,62,16,4,506,0.4693877551020408
862,14,9,31,53,19,11,5,10,0,207,3,43,4,6,415,0.3982725527831094
863,12,12,26,67,5,5,4,8,0,130,2,34,5,10,320,0.3975155279503105
864,8,14,21,36,10,9,2,4,1,167,2,57,18,2,351,0.4642857142857143
865,3,4,60,53,8,3,0,12,0,125,3,15,4,6,296,0.4163150492264416
866,10,16,42,75,8,5,4,3,1,259,2,69,11,5,510,0.4513274336283185
867,8,15,38,25,11,4,1,8,0,185,0,35,3,11,344,0.4310776942355889
868,12,6,32,35,6,6,4,9,1,215,0,20,0,4,350,0.3586065573770491
869,5,8,15,13,9,2,0,1,0,200,4,26,2,2,287,0.3660714285714285
870,1,1,6,4,1,0,0,0,0,11,1,7,2,0,34,
871,0,1,3,3,1,0,0,0,0,19,1,8,0,0,36,
872,1,2,2,5,2,0,1,0,0,15,1,14,2,1,46,
873,0,2,0,3,0,0,1,0,0,12,0,4,0,0,22,
874,0,0,3,6,1,1,0,2,0,12,0,8,0,1,34,
875,0,1,1,8,1,0,0,1,0,10,0,6,1,0,29,
876,0,5,4,6,2,0,0,1,0,20,0,11,3,2,54,
877,0,1,0,4,0,0,1,0,0,3,0,2,1,0,12,
878,0,1,2,4,0,0,0,0,0,3,0,3,1,0,14,
879,1,1,0,7,1,1,1,0,0,5,1,2,0,0,20,
880,1,2,3,4,0,0,0,0,0,8,0,6,0,0,24,
881,0,0,0,2,0,0,0,0,0,4,0,0,0,0,6,
882,1,0,4,4,0,0,0,0,0,6,0,3,0,0,18,
883,0,2,0,2,3,0,0,0,0,3,0,0,0,0,10,
884,0,1,3,4,1,1,0,0,0,24,0,1,0,1,36,
